population,treatment,block,vial,eclosed
aLHm,awt,A,1,93
aLHm,awt,A,2,89
aLHm,awt,A,3,73
aLHm,awt,A,4,87
aLHm,awt,A,5,86
aLHm,awt,B,1,92
aLHm,awt,B,2,90
aLHm,awt,B,3,86
aLHm,awt,B,4,94
aLHm,awt,B,5,93
bInnisfail,awt,A,1,86
bInnisfail,awt,A,2,61
bInnisfail,awt,A,3,77
bInnisfail,awt,A,4,72
bInnisfail,awt,A,5,90
bInnisfail,awt,B,1,80
bInnisfail,awt,B,2,66
bInnisfail,awt,B,3,89
bInnisfail,awt,B,4,87
bInnisfail,awt,B,5,89
cInn-Lx,bnovelX,A,1,82
cInn-Lx,bnovelX,A,2,89
cInn-Lx,bnovelX,A,3,83
cInn-Lx,bnovelX,A,4,59
cInn-Lx,bnovelX,A,5,72
cInn-Lx,bnovelX,B,1,86
cInn-Lx,bnovelX,B,2,87
cInn-Lx,bnovelX,B,3,93
cInn-Lx,bnovelX,B,4,89
cInn-Lx,bnovelX,B,5,69
dInn-Ly,cnovelY,A,1,NA
dInn-Ly,cnovelY,A,2,89
dInn-Ly,cnovelY,A,3,83
dInn-Ly,cnovelY,A,4,87
dInn-Ly,cnovelY,A,5,86
dInn-Ly,cnovelY,B,1,80
dInn-Ly,cnovelY,B,2,93
dInn-Ly,cnovelY,B,3,89
dInn-Ly,cnovelY,B,4,82
dInn-Ly,cnovelY,B,5,87
eInn-Ox,bnovelX,A,1,74
eInn-Ox,bnovelX,A,2,80
eInn-Ox,bnovelX,A,3,79
eInn-Ox,bnovelX,A,4,79
eInn-Ox,bnovelX,A,5,67
eInn-Ox,bnovelX,B,1,86
eInn-Ox,bnovelX,B,2,85
eInn-Ox,bnovelX,B,3,74
eInn-Ox,bnovelX,B,4,81
eInn-Ox,bnovelX,B,5,71
fInn-Oy,cnovelY,A,1,85
fInn-Oy,cnovelY,A,2,78
fInn-Oy,cnovelY,A,3,64
fInn-Oy,cnovelY,A,4,82
fInn-Oy,cnovelY,A,5,87
fInn-Oy,cnovelY,B,1,96
fInn-Oy,cnovelY,B,2,85
fInn-Oy,cnovelY,B,3,95
fInn-Oy,cnovelY,B,4,87
fInn-Oy,cnovelY,B,5,83
gOdder,awt,A,1,67
gOdder,awt,A,2,49
gOdder,awt,A,3,62
gOdder,awt,A,4,75
gOdder,awt,A,5,60
gOdder,awt,B,1,50
gOdder,awt,B,2,74
gOdder,awt,B,3,83
gOdder,awt,B,4,85
gOdder,awt,B,5,82
hOdd-Ix,bnovelX,A,1,73
hOdd-Ix,bnovelX,A,2,82
hOdd-Ix,bnovelX,A,3,75
hOdd-Ix,bnovelX,A,4,30
hOdd-Ix,bnovelX,A,5,51
hOdd-Ix,bnovelX,B,1,63
hOdd-Ix,bnovelX,B,2,83
hOdd-Ix,bnovelX,B,3,77
hOdd-Ix,bnovelX,B,4,45
hOdd-Ix,bnovelX,B,5,67
iOdd-Iy,cnovelY,A,1,80
iOdd-Iy,cnovelY,A,2,63
iOdd-Iy,cnovelY,A,3,78
iOdd-Iy,cnovelY,A,4,74
iOdd-Iy,cnovelY,A,5,78
iOdd-Iy,cnovelY,B,1,91
iOdd-Iy,cnovelY,B,2,87
iOdd-Iy,cnovelY,B,3,81
iOdd-Iy,cnovelY,B,4,55
iOdd-Iy,cnovelY,B,5,83
jOdd-Dx,bnovelX,A,1,72
jOdd-Dx,bnovelX,A,2,49
jOdd-Dx,bnovelX,A,3,66
jOdd-Dx,bnovelX,A,4,73
jOdd-Dx,bnovelX,A,5,68
jOdd-Dx,bnovelX,B,1,47
jOdd-Dx,bnovelX,B,2,44
jOdd-Dx,bnovelX,B,3,85
jOdd-Dx,bnovelX,B,4,80
jOdd-Dx,bnovelX,B,5,76
kOdd-Dy,cnovelY,A,1,67
kOdd-Dy,cnovelY,A,2,78
kOdd-Dy,cnovelY,A,3,75
kOdd-Dy,cnovelY,A,4,80
kOdd-Dy,cnovelY,A,5,49
kOdd-Dy,cnovelY,B,1,88
kOdd-Dy,cnovelY,B,2,77
kOdd-Dy,cnovelY,B,3,78
kOdd-Dy,cnovelY,B,4,91
kOdd-Dy,cnovelY,B,5,86
lDahomey,awt,A,1,57
lDahomey,awt,A,2,66
lDahomey,awt,A,3,63
lDahomey,awt,A,4,87
lDahomey,awt,A,5,80
lDahomey,awt,B,1,90
lDahomey,awt,B,2,91
lDahomey,awt,B,3,84
lDahomey,awt,B,4,93
lDahomey,awt,B,5,89
