population,deltaAge
aInnY-LHm,2.07
aInnY-LHm,-1.01
aInnY-LHm,-1.95
aInnY-LHm,3.61
aInnY-LHm,-0.56
aInnY-LHm,-1.05
aInnY-LHm,5.19
aInnY-LHm,0.28
aInnY-LHm,-2.87
aInnY-LHm,1.55
aInnY-LHm,-3.66
aInnY-LHm,1.16
aInnY-LHm,2.31
aInnY-LHm,-1.59
aInnY-LHm,4.86
aInnY-LHm,-0.24
aInnY-LHm,1.07
aInnY-LHm,3.43
aInnY-LHm,7.05
aInnY-LHm,0.92
aInnY-LHm,0.64
aInnY-LHm,-0.77
aInnY-LHm,2.92
aInnY-LHm,3.69
aInnY-LHm,3.89
aInnY-LHm,-2.55
aInnY-LHm,2.53
aInnY-LHm,-1.07
aInnY-LHm,-0.56
aInnY-LHm,2.84
aInnY-LHm,6.51
aInnY-LHm,-0.10
aInnY-LHm,3.50
aInnY-LHm,-0.07
aInnY-LHm,1.68
aInnY-LHm,-0.41
aInnY-LHm,1.92
aInnY-LHm,1.58
aInnY-LHm,0.98
aInnY-LHm,0.68
aInnY-LHm,4.79
aInnY-LHm,-2.56
aInnY-LHm,-0.55
aInnY-LHm,-1.17
aInnY-LHm,4.82
aInnY-LHm,3.02
aInnY-LHm,-2.90
aInnY-LHm,-1.06
aInnY-LHm,3.28
aInnY-LHm,5.12
aInnY-LHm,3.39
aInnY-LHm,1.84
aInnY-LHm,1.64
aInnY-LHm,2.43
aInnY-LHm,2.96
aInnY-LHm,-0.14
aInnY-LHm,0.51
aInnY-LHm,3.45
aInnY-LHm,-4.69
aInnY-LHm,-1.45
aInnY-LHm,0.01
aInnY-LHm,3.06
aInnY-LHm,2.54
aInnY-LHm,-0.66
aInnY-LHm,-2.10
aInnY-LHm,0.19
aInnY-LHm,-4.42
aInnY-LHm,0.81
aInnY-LHm,-3.54
aInnY-LHm,-1.35
aInnY-LHm,-1.56
aInnY-LHm,-3.84
aInnY-LHm,-0.10
aInnY-LHm,0.59
aInnY-LHm,-3.25
aInnY-LHm,3.74
aInnY-LHm,-1.40
aInnY-LHm,4.77
aInnY-LHm,2.34
aInnY-LHm,4.54
aInnY-LHm,0.71
aInnY-LHm,-1.12
aInnY-LHm,-3.36
aInnY-LHm,2.39
aInnY-LHm,1.20
aInnY-LHm,-1.24
aInnY-LHm,1.22
aInnY-LHm,-1.50
aInnY-LHm,0.76
aInnY-LHm,-3.06
aInnY-LHm,-0.53
aInnY-LHm,-0.16
aInnY-LHm,-1.64
aInnY-LHm,-3.86
aInnY-LHm,-3.22
aInnY-LHm,-1.38
aInnY-LHm,-2.79
aInnY-LHm,-1.70
aInnY-LHm,1.87
