population,treatment,vial,female,age,dead
aLHm,awt,1,1,35,1
aLHm,awt,1,2,35,1
aLHm,awt,1,3,36,1
aLHm,awt,1,4,36,1
aLHm,awt,1,5,37,1
aLHm,awt,2,1,4,1
aLHm,awt,2,2,5,1
aLHm,awt,2,3,12,1
aLHm,awt,2,4,22,0
aLHm,awt,2,5,22,0
aLHm,awt,3,1,12,1
aLHm,awt,3,2,18,1
aLHm,awt,3,3,19,1
aLHm,awt,3,4,33,1
aLHm,awt,3,5,33,1
aLHm,awt,4,1,5,1
aLHm,awt,4,2,12,1
aLHm,awt,4,3,19,1
aLHm,awt,4,4,22,0
aLHm,awt,4,5,33,1
aLHm,awt,5,1,23,0
aLHm,awt,5,2,26,1
aLHm,awt,5,3,30,1
aLHm,awt,5,4,37,1
aLHm,awt,5,5,37,1
aLHm,awt,6,1,5,1
aLHm,awt,6,2,22,0
aLHm,awt,6,3,23,1
aLHm,awt,6,4,24,1
aLHm,awt,6,5,24,0
aLHm,awt,7,1,22,0
aLHm,awt,7,2,23,1
aLHm,awt,7,3,30,1
aLHm,awt,7,4,32,1
aLHm,awt,7,5,37,1
aLHm,awt,8,1,4,1
aLHm,awt,8,2,5,1
aLHm,awt,8,3,5,1
aLHm,awt,8,4,12,1
aLHm,awt,8,5,35,1
aLHm,awt,9,1,5,1
aLHm,awt,9,2,12,1
aLHm,awt,9,3,22,0
aLHm,awt,9,4,26,1
aLHm,awt,9,5,28,1
aLHm,awt,10,1,5,1
aLHm,awt,10,2,9,1
aLHm,awt,10,3,33,1
aLHm,awt,10,4,35,1
aLHm,awt,10,5,37,1
bLHm-Iy,cnovelY,1,1,22,0
bLHm-Iy,cnovelY,1,2,24,0
bLHm-Iy,cnovelY,1,3,24,0
bLHm-Iy,cnovelY,1,4,24,0
bLHm-Iy,cnovelY,1,5,33,1
bLHm-Iy,cnovelY,2,1,12,1
bLHm-Iy,cnovelY,2,2,12,0
bLHm-Iy,cnovelY,2,3,17,1
bLHm-Iy,cnovelY,2,4,33,1
bLHm-Iy,cnovelY,2,5,35,1
bLHm-Iy,cnovelY,3,1,5,0
bLHm-Iy,cnovelY,3,2,5,1
bLHm-Iy,cnovelY,3,3,12,1
bLHm-Iy,cnovelY,3,4,24,1
bLHm-Iy,cnovelY,3,5,26,1
bLHm-Iy,cnovelY,4,1,5,1
bLHm-Iy,cnovelY,4,2,12,1
bLHm-Iy,cnovelY,4,3,30,1
bLHm-Iy,cnovelY,4,4,31,1
bLHm-Iy,cnovelY,4,5,32,1
bLHm-Iy,cnovelY,5,1,2,1
bLHm-Iy,cnovelY,5,2,12,1
bLHm-Iy,cnovelY,5,3,22,0
bLHm-Iy,cnovelY,5,4,26,1
bLHm-Iy,cnovelY,5,5,26,1
bLHm-Iy,cnovelY,6,1,2,1
bLHm-Iy,cnovelY,6,2,24,1
bLHm-Iy,cnovelY,6,3,31,1
bLHm-Iy,cnovelY,6,4,32,1
bLHm-Iy,cnovelY,6,5,33,1
bLHm-Iy,cnovelY,7,1,7,1
bLHm-Iy,cnovelY,7,2,20,1
bLHm-Iy,cnovelY,7,3,22,0
bLHm-Iy,cnovelY,7,4,23,0
bLHm-Iy,cnovelY,7,5,29,1
bLHm-Iy,cnovelY,8,1,12,1
bLHm-Iy,cnovelY,8,2,19,1
bLHm-Iy,cnovelY,8,3,22,0
bLHm-Iy,cnovelY,8,4,33,1
bLHm-Iy,cnovelY,8,5,35,1
bLHm-Iy,cnovelY,9,1,22,0
bLHm-Iy,cnovelY,9,2,22,0
bLHm-Iy,cnovelY,9,3,31,1
bLHm-Iy,cnovelY,9,4,32,1
bLHm-Iy,cnovelY,9,5,33,1
bLHm-Iy,cnovelY,10,1,4,1
bLHm-Iy,cnovelY,10,2,12,1
bLHm-Iy,cnovelY,10,3,23,1
bLHm-Iy,cnovelY,10,4,23,0
bLHm-Iy,cnovelY,10,5,33,1
cInnisfail,awt,1,1,15,1
cInnisfail,awt,1,2,37,1
cInnisfail,awt,1,3,37,1
cInnisfail,awt,1,4,37,1
cInnisfail,awt,1,5,37,1
cInnisfail,awt,2,1,22,0
cInnisfail,awt,2,2,22,0
cInnisfail,awt,2,3,33,1
cInnisfail,awt,2,4,35,1
cInnisfail,awt,2,5,42,0
cInnisfail,awt,3,1,1,1
cInnisfail,awt,3,2,22,0
cInnisfail,awt,3,3,24,1
cInnisfail,awt,3,4,35,1
cInnisfail,awt,3,5,37,1
cInnisfail,awt,4,1,5,1
cInnisfail,awt,4,2,10,1
cInnisfail,awt,4,3,35,1
cInnisfail,awt,4,4,37,1
cInnisfail,awt,4,5,37,1
cInnisfail,awt,5,1,1,1
cInnisfail,awt,5,2,1,1
cInnisfail,awt,5,3,26,1
cInnisfail,awt,5,4,33,1
cInnisfail,awt,5,5,37,1
cInnisfail,awt,6,1,1,1
cInnisfail,awt,6,2,19,1
cInnisfail,awt,6,3,23,0
cInnisfail,awt,6,4,33,1
cInnisfail,awt,6,5,37,1
cInnisfail,awt,7,1,2,1
cInnisfail,awt,7,2,5,1
cInnisfail,awt,7,3,26,1
cInnisfail,awt,7,4,35,1
cInnisfail,awt,7,5,36,1
cInnisfail,awt,8,1,19,1
cInnisfail,awt,8,2,33,1
cInnisfail,awt,8,3,35,1
cInnisfail,awt,8,4,37,1
cInnisfail,awt,8,5,37,1
cInnisfail,awt,9,1,24,1
cInnisfail,awt,9,2,37,1
cInnisfail,awt,9,3,37,1
cInnisfail,awt,9,4,37,1
cInnisfail,awt,9,5,37,1
cInnisfail,awt,10,1,5,1
cInnisfail,awt,10,2,23,0
cInnisfail,awt,10,3,33,1
cInnisfail,awt,10,4,35,1
cInnisfail,awt,10,5,35,1
dInn-Lx,bnovelX,1,1,22,0
dInn-Lx,bnovelX,1,2,22,0
dInn-Lx,bnovelX,1,3,33,1
dInn-Lx,bnovelX,1,4,35,1
dInn-Lx,bnovelX,1,5,35,1
dInn-Lx,bnovelX,2,1,19,1
dInn-Lx,bnovelX,2,2,32,1
dInn-Lx,bnovelX,2,3,32,1
dInn-Lx,bnovelX,2,4,33,1
dInn-Lx,bnovelX,2,5,37,1
dInn-Lx,bnovelX,3,1,22,0
dInn-Lx,bnovelX,3,2,22,0
dInn-Lx,bnovelX,3,3,33,1
dInn-Lx,bnovelX,3,4,35,1
dInn-Lx,bnovelX,3,5,42,0
dInn-Lx,bnovelX,4,1,5,1
dInn-Lx,bnovelX,4,2,5,1
dInn-Lx,bnovelX,4,3,19,1
dInn-Lx,bnovelX,4,4,23,0
dInn-Lx,bnovelX,4,5,35,1
dInn-Lx,bnovelX,5,1,12,1
dInn-Lx,bnovelX,5,2,19,1
dInn-Lx,bnovelX,5,3,22,0
dInn-Lx,bnovelX,5,4,29,1
dInn-Lx,bnovelX,5,5,33,1
dInn-Lx,bnovelX,6,1,1,1
dInn-Lx,bnovelX,6,2,19,1
dInn-Lx,bnovelX,6,3,22,0
dInn-Lx,bnovelX,6,4,23,0
dInn-Lx,bnovelX,6,5,33,0
dInn-Lx,bnovelX,7,1,26,1
dInn-Lx,bnovelX,7,2,26,1
dInn-Lx,bnovelX,7,3,28,0
dInn-Lx,bnovelX,7,4,42,0
dInn-Lx,bnovelX,7,5,42,0
dInn-Lx,bnovelX,8,1,25,1
dInn-Lx,bnovelX,8,2,32,1
dInn-Lx,bnovelX,8,3,35,1
dInn-Lx,bnovelX,8,4,37,1
dInn-Lx,bnovelX,8,5,42,0
dInn-Lx,bnovelX,9,1,17,1
dInn-Lx,bnovelX,9,2,23,1
dInn-Lx,bnovelX,9,3,28,1
dInn-Lx,bnovelX,9,4,42,0
dInn-Lx,bnovelX,9,5,42,0
