population,treatment,vial,age
aLHm,awt,1,35
aLHm,awt,2,18.2
aLHm,awt,3,23
aLHm,awt,4,20.4
aLHm,awt,5,31.5
aLHm,awt,6,22.9
aLHm,awt,7,30
aLHm,awt,8,12.2
aLHm,awt,9,19.6
aLHm,awt,10,23.4
bLHm-Iy,cnovelY,1,33
bLHm-Iy,cnovelY,2,25.1
bLHm-Iy,cnovelY,3,17.5
bLHm-Iy,cnovelY,4,22
bLHm-Iy,cnovelY,5,18.4
bLHm-Iy,cnovelY,6,24.4
bLHm-Iy,cnovelY,7,22.8
bLHm-Iy,cnovelY,8,26.6
bLHm-Iy,cnovelY,9,32
bLHm-Iy,cnovelY,10,21
cInnisfail,awt,1,31
cInnisfail,awt,2,34.3
cInnisfail,awt,3,25.3
cInnisfail,awt,4,24
cInnisfail,awt,5,19.2
cInnisfail,awt,6,24.4
cInnisfail,awt,7,20.6
cInnisfail,awt,8,31.4
cInnisfail,awt,9,32.8
cInnisfail,awt,10,28.5
dInn-Lx,bnovelX,1,34.3
dInn-Lx,bnovelX,2,30.2
dInn-Lx,bnovelX,3,34.3
dInn-Lx,bnovelX,4,19.8
dInn-Lx,bnovelX,5,24.8
dInn-Lx,bnovelX,6,25
dInn-Lx,bnovelX,7,31.4
dInn-Lx,bnovelX,8,32.4
dInn-Lx,bnovelX,9,27.6
dInn-Lx,bnovelX,10,31.8
eInn-Ly,cnovelY,1,20.2
eInn-Ly,cnovelY,2,26.1
eInn-Ly,cnovelY,3,35
eInn-Ly,cnovelY,4,21.2
eInn-Ly,cnovelY,5,29.6
eInn-Ly,cnovelY,6,27
eInn-Ly,cnovelY,7,19.6
eInn-Ly,cnovelY,8,34
eInn-Ly,cnovelY,9,22.2
eInn-Ly,cnovelY,10,25.6
fInn-Ox,bnovelX,1,17.2
fInn-Ox,bnovelX,2,23.2
fInn-Ox,bnovelX,3,28.2
fInn-Ox,bnovelX,4,27
fInn-Ox,bnovelX,5,30.4
fInn-Ox,bnovelX,6,32
fInn-Ox,bnovelX,7,24.3
fInn-Ox,bnovelX,8,31.3
fInn-Ox,bnovelX,9,33.8
fInn-Ox,bnovelX,10,32.5
gInn-Oy,cnovelY,1,27.5
gInn-Oy,cnovelY,2,28
gInn-Oy,cnovelY,3,24.6
gInn-Oy,cnovelY,4,32.6
gInn-Oy,cnovelY,5,30.2
gInn-Oy,cnovelY,6,26
gInn-Oy,cnovelY,7,27.1
gInn-Oy,cnovelY,8,13
gInn-Oy,cnovelY,9,24.6
gInn-Oy,cnovelY,10,31.7
hOdder,awt,1,27
hOdder,awt,2,34.6
hOdder,awt,3,25.6
hOdder,awt,4,27.1
hOdder,awt,5,24.4
hOdder,awt,6,34.2
hOdder,awt,7,20.6
hOdder,awt,8,24.4
hOdder,awt,9,30.7
hOdder,awt,10,17.2
iOdd-Ix,bnovelX,1,35
iOdd-Ix,bnovelX,2,33.5
iOdd-Ix,bnovelX,3,27.4
iOdd-Ix,bnovelX,4,27.9
iOdd-Ix,bnovelX,5,27.9
iOdd-Ix,bnovelX,6,32.2
iOdd-Ix,bnovelX,7,20.3
iOdd-Ix,bnovelX,8,28.6
iOdd-Ix,bnovelX,9,11.2
iOdd-Ix,bnovelX,10,25
jOdd-Iy,cnovelY,1,32.6
jOdd-Iy,cnovelY,2,23.2
jOdd-Iy,cnovelY,3,29.6
jOdd-Iy,cnovelY,4,28.6
jOdd-Iy,cnovelY,5,21.8
jOdd-Iy,cnovelY,6,20.8
jOdd-Iy,cnovelY,7,30
jOdd-Iy,cnovelY,8,30.3
jOdd-Iy,cnovelY,9,23.2
jOdd-Iy,cnovelY,10,25.4
kOdd-Dx,bnovelX,1,17.4
kOdd-Dx,bnovelX,2,24.7
kOdd-Dx,bnovelX,3,29.7
kOdd-Dx,bnovelX,4,23.8
kOdd-Dx,bnovelX,5,30
kOdd-Dx,bnovelX,6,22.4
kOdd-Dx,bnovelX,7,21.8
kOdd-Dx,bnovelX,8,22.2
kOdd-Dx,bnovelX,9,29.5
kOdd-Dx,bnovelX,10,27.4
lOdd-Dy,cnovelY,1,22.8
lOdd-Dy,cnovelY,2,15.4
lOdd-Dy,cnovelY,3,29.8
lOdd-Dy,cnovelY,4,17.5
lOdd-Dy,cnovelY,5,24
lOdd-Dy,cnovelY,6,25.5
lOdd-Dy,cnovelY,7,29
lOdd-Dy,cnovelY,8,21.8
lOdd-Dy,cnovelY,9,26.1
lOdd-Dy,cnovelY,10,23.9
mDahomey,awt,1,21.2
mDahomey,awt,2,30.2
mDahomey,awt,3,27
mDahomey,awt,4,28.9
mDahomey,awt,5,24.4
mDahomey,awt,6,7
mDahomey,awt,7,27
mDahomey,awt,8,18.2
mDahomey,awt,9,13.6
mDahomey,awt,10,26.6
nDah-Oy,cnovelY,1,28.4
nDah-Oy,cnovelY,2,35
nDah-Oy,cnovelY,3,23.4
nDah-Oy,cnovelY,4,30
nDah-Oy,cnovelY,5,27.6
nDah-Oy,cnovelY,6,30.5
nDah-Oy,cnovelY,7,18.4
nDah-Oy,cnovelY,8,29.4
nDah-Oy,cnovelY,9,34
nDah-Oy,cnovelY,10,30.8
