population,deltaEggs
aInnY-LHm,-10.76111111
aInnY-LHm,-12.42777778
aInnY-LHm,-10.88333333
aInnY-LHm,-20.49259259
aInnY-LHm,-10.66851852
aInnY-LHm,-14.64074074
aInnY-LHm,-8.488888889
aInnY-LHm,-8.612962963
aInnY-LHm,-12.05
aInnY-LHm,-17.23333333
aInnY-LHm,-11.26296296
aInnY-LHm,-13.4537037
aInnY-LHm,-16.1462963
aInnY-LHm,-16.51481482
aInnY-LHm,-14.8962963
aInnY-LHm,-13.28888889
aInnY-LHm,-5.162962963
aInnY-LHm,-10.73148148
aInnY-LHm,-12.51851852
aInnY-LHm,-19.38148148
aInnY-LHm,-20.15
aInnY-LHm,-16.21851852
aInnY-LHm,-8.985185186
aInnY-LHm,-19.53333333
aInnY-LHm,-26.41666667
aInnY-LHm,-19.82407407
aInnY-LHm,-18.12777778
aInnY-LHm,-17.50740741
aInnY-LHm,-19.66481482
aInnY-LHm,-17.95740741
aInnY-LHm,-12.40555556
aInnY-LHm,-11.45
aInnY-LHm,-20.6537037
aInnY-LHm,-8.177777778
aInnY-LHm,-14.11851852
aInnY-LHm,-21.90925926
aInnY-LHm,-17.37222222
aInnY-LHm,-12.68888889
aInnY-LHm,-7.194444444
aInnY-LHm,-9.396296297
aInnY-LHm,-10.07407407
aInnY-LHm,-6.766666667
aInnY-LHm,-5.490740741
aInnY-LHm,-23.06296296
aInnY-LHm,-28.53703704
aInnY-LHm,-9.996296297
aInnY-LHm,-25.75
aInnY-LHm,-11.50185185
aInnY-LHm,-18.79259259
aInnY-LHm,-14.51481482
aInnY-LHm,-23.02407407
aInnY-LHm,-11.51851852
aInnY-LHm,-23.21666667
aInnY-LHm,-11.11296296
aInnY-LHm,-15.44074074
aInnY-LHm,-11.01666667
aInnY-LHm,-11.95185185
aInnY-LHm,-21.26481482
aInnY-LHm,-12.96481482
aInnY-LHm,-11.3037037
aInnY-LHm,-10.45925926
aInnY-LHm,-17.46666667
aInnY-LHm,-15.52407407
aInnY-LHm,-13.2
aInnY-LHm,-11.52222222
aInnY-LHm,-16.63888889
aInnY-LHm,-11.76111111
aInnY-LHm,-4.538888889
aInnY-LHm,-9.683333333
aInnY-LHm,-9.838888889
aInnY-LHm,-18.25
aInnY-LHm,-9.6
aInnY-LHm,-19.10555556
aInnY-LHm,-6.3
aInnY-LHm,-15.15185185
aInnY-LHm,-9.655555556
aInnY-LHm,-23.44074074
aInnY-LHm,-9.185185186
aInnY-LHm,-10.64074074
aInnY-LHm,-17.06851852
aInnY-LHm,-19.2
aInnY-LHm,-10.4
aInnY-LHm,-17.37592593
aInnY-LHm,-11.22407407
aInnY-LHm,-21.70925926
aInnY-LHm,-14.76666667
aInnY-LHm,-14.02407407
aInnY-LHm,-6.501851852
aInnY-LHm,-15.12777778
aInnY-LHm,-10.37962963
aInnY-LHm,-7.227777778
aInnY-LHm,-12.53518519
aInnY-LHm,-20.47407407
aInnY-LHm,-11.64814815
aInnY-LHm,-17.58333333
aInnY-LHm,-27.66296296
aInnY-LHm,-22.65925926
aInnY-LHm,-12.16296296
aInnY-LHm,-6.822222222
aInnY-LHm,-17.29814815
aInnY-LHm,-6.788888889
aInnY-LHm,-17.38333333
aInnY-LHm,-7.977777778
aInnY-LHm,-15.15925926
aInnY-LHm,-26.35
aInnY-LHm,-14.59444444
aInnY-LHm,-12.77777778
aInnY-LHm,-15.7962963
aInnY-LHm,-12.25925926
aInnY-LHm,-14.72222222
aInnY-LHm,-9.412962963
aInnY-LHm,-22.72777778
aInnY-LHm,-7.366666667
aInnY-LHm,-14.17777778
aInnY-LHm,-13.76481482
aInnY-LHm,-16.48518519
aInnY-LHm,-15.12037037
aInnY-LHm,-14.17962963
aInnY-LHm,-2.955555556
aInnY-LHm,-19.93518519
aInnY-LHm,-11.46666667
aInnY-LHm,-4.3
aInnY-LHm,-19.66296296
aInnY-LHm,-12.34259259
aInnY-LHm,-12.38888889
aInnY-LHm,-16.38888889
aInnY-LHm,-5.194444444
aInnY-LHm,-16.39444444
aInnY-LHm,-6.362962963
aInnY-LHm,-21.43518519
aInnY-LHm,-19.32962963
aInnY-LHm,-13.0962963
aInnY-LHm,-19.16111111
aInnY-LHm,-12.88333333
aInnY-LHm,-12.57592593
aInnY-LHm,-9.40925926
aInnY-LHm,-16.47407407
aInnY-LHm,-16.41296296
aInnY-LHm,-15.05925926
aInnY-LHm,-22.13703704
aInnY-LHm,-18.16851852
aInnY-LHm,-18.58888889
aInnY-LHm,-17.82777778
aInnY-LHm,-23.15555556
aInnY-LHm,-20.12777778
aInnY-LHm,-10.75
aInnY-LHm,-8.185185186
aInnY-LHm,-9.788888889
aInnY-LHm,-24.07222222
aInnY-LHm,-11.21666667
aInnY-LHm,-4.346296297
aInnY-LHm,-18.01851852
aInnY-LHm,-10.58333333
aInnY-LHm,-15.12222222
aInnY-LHm,-16.3462963
aInnY-LHm,-17.09259259
aInnY-LHm,-20.01481482
aInnY-LHm,-2.283333333
aInnY-LHm,-7.762962963
aInnY-LHm,-13.65740741
aInnY-LHm,-14.78148148
aInnY-LHm,-18.14074074
aInnY-LHm,-20.10925926
aInnY-LHm,-11.83888889
aInnY-LHm,-11.36111111
aInnY-LHm,-11.3537037
aInnY-LHm,-22.43148148
aInnY-LHm,-22.17222222
aInnY-LHm,-19.01111111
aInnY-LHm,-19.09074074
aInnY-LHm,-12.04074074
aInnY-LHm,-4.035185186
aInnY-LHm,-13.36296296
aInnY-LHm,-17.18703704
aInnY-LHm,-18.97592593
aInnY-LHm,-13.03888889
aInnY-LHm,-10.5037037
aInnY-LHm,-11.86851852
aInnY-LHm,-7.694444444
aInnY-LHm,-19.87407407
aInnY-LHm,-21.61481482
aInnY-LHm,-5.122222222
aInnY-LHm,-14.95
aInnY-LHm,-9.033333333
aInnY-LHm,-11.98148148
aInnY-LHm,-18.24814815
aInnY-LHm,-10.19444444
aInnY-LHm,-6.8
aInnY-LHm,-13.80925926
aInnY-LHm,-4.035185186
aInnY-LHm,-10.04074074
aInnY-LHm,-13.72777778
aInnY-LHm,-21.64814815
aInnY-LHm,-21.86851852
aInnY-LHm,-17.74074074
aInnY-LHm,-6.024074074
aInnY-LHm,-18.31666667
aInnY-LHm,-21.06111111
aInnY-LHm,-11.89074074
aInnY-LHm,-15.05740741
aInnY-LHm,-3.555555556
aInnY-LHm,-19.59259259
aInnY-LHm,-4.327777778
aInnY-LHm,-20.83333333
aInnY-LHm,-5.877777778
aInnY-LHm,-14.91111111
aInnY-LHm,-17.78518519
aInnY-LHm,-14.78333333
aInnY-LHm,-22.4962963
aInnY-LHm,-23.78703704
aInnY-LHm,-17.6462963
aInnY-LHm,-19.8
aInnY-LHm,-13.37222222
aInnY-LHm,-21.88518519
aInnY-LHm,-19.81481482
aInnY-LHm,-15.66851852
