population,treatment,vial,egg
aLHm,awt,1,68.6
aLHm,awt,2,67.8
aLHm,awt,3,67.6
aLHm,awt,4,77.75
aLHm,awt,5,86.75
aLHm,awt,6,62.8
aLHm,awt,7,66.4
aLHm,awt,8,69
aLHm,awt,9,68.2
bLHm-Iy,cnovelY,1,37.33333333
bLHm-Iy,cnovelY,2,71
bLHm-Iy,cnovelY,3,58.75
bLHm-Iy,cnovelY,4,69
bLHm-Iy,cnovelY,5,65.6
bLHm-Iy,cnovelY,6,61.2
bLHm-Iy,cnovelY,7,67
bLHm-Iy,cnovelY,8,51.2
bLHm-Iy,cnovelY,9,24
cInnisfail,awt,1,61.4
cInnisfail,awt,2,79
cInnisfail,awt,3,72.5
cInnisfail,awt,4,69.2
cInnisfail,awt,5,60.25
cInnisfail,awt,6,66.75
cInnisfail,awt,7,60.6
cInnisfail,awt,8,88.4
cInnisfail,awt,9,78.6
dInn-Lx,bnovelX,1,57.6
dInn-Lx,bnovelX,2,85.75
dInn-Lx,bnovelX,3,82
dInn-Lx,bnovelX,4,57
dInn-Lx,bnovelX,5,84.4
dInn-Lx,bnovelX,6,64.5
dInn-Lx,bnovelX,7,76.6
dInn-Lx,bnovelX,8,55.75
dInn-Lx,bnovelX,9,71.4
eInn-Ox,bnovelX,1,61.75
eInn-Ox,bnovelX,2,80.75
eInn-Ox,bnovelX,3,43.4
eInn-Ox,bnovelX,4,69.6
eInn-Ox,bnovelX,5,68.75
eInn-Ox,bnovelX,6,59.8
eInn-Ox,bnovelX,7,62.4
eInn-Ox,bnovelX,8,68.25
eInn-Ox,bnovelX,9,55.5
fInn-Oy,cnovelY,1,67.8
fInn-Oy,cnovelY,2,71.6
fInn-Oy,cnovelY,3,90.2
fInn-Oy,cnovelY,4,80
fInn-Oy,cnovelY,5,78
fInn-Oy,cnovelY,6,87.6
fInn-Oy,cnovelY,7,25.66666667
fInn-Oy,cnovelY,8,78.2
fInn-Oy,cnovelY,9,72
gOdder,awt,1,66.25
gOdder,awt,2,85.75
gOdder,awt,3,72
gOdder,awt,4,43
gOdder,awt,5,75.6
gOdder,awt,6,68.2
gOdder,awt,7,82.6
gOdder,awt,8,70
gOdder,awt,9,78.4
hOdd-Ix,bnovelX,1,77.66666667
hOdd-Ix,bnovelX,2,65.4
hOdd-Ix,bnovelX,3,79
hOdd-Ix,bnovelX,4,85.2
hOdd-Ix,bnovelX,5,66.25
hOdd-Ix,bnovelX,6,74.4
hOdd-Ix,bnovelX,7,70.2
hOdd-Ix,bnovelX,8,72.6
hOdd-Ix,bnovelX,9,40
iOdd-Dx,bnovelX,1,64.4
iOdd-Dx,bnovelX,2,61.75
iOdd-Dx,bnovelX,3,73
iOdd-Dx,bnovelX,4,73.66666667
iOdd-Dx,bnovelX,5,63
iOdd-Dx,bnovelX,6,60
iOdd-Dx,bnovelX,7,69.25
iOdd-Dx,bnovelX,8,71.2
iOdd-Dx,bnovelX,9,64.5
jOdd-Dy,cnovelY,1,66.4
jOdd-Dy,cnovelY,2,73
jOdd-Dy,cnovelY,3,78.6
jOdd-Dy,cnovelY,4,61
jOdd-Dy,cnovelY,5,67.2
jOdd-Dy,cnovelY,6,72
jOdd-Dy,cnovelY,7,49
jOdd-Dy,cnovelY,8,83
jOdd-Dy,cnovelY,9,69.6
kDahomey,awt,1,65.66666667
kDahomey,awt,2,57.8
kDahomey,awt,3,76.25
kDahomey,awt,4,78.66666667
kDahomey,awt,5,60.8
kDahomey,awt,6,52
kDahomey,awt,7,69
kDahomey,awt,8,75
kDahomey,awt,9,21
lDah-Oy,cnovelY,1,70
lDah-Oy,cnovelY,2,44.33333333
lDah-Oy,cnovelY,3,82
lDah-Oy,cnovelY,4,56.75
lDah-Oy,cnovelY,5,64.25
lDah-Oy,cnovelY,6,61.8
lDah-Oy,cnovelY,7,54.5
lDah-Oy,cnovelY,8,84.25
lDah-Oy,cnovelY,9,62.4
mNovelY_1,cnovelY,1,65.8
mNovelY_1,cnovelY,2,43
mNovelY_1,cnovelY,3,63
mNovelY_1,cnovelY,4,75.6
mNovelY_1,cnovelY,5,33.5
mNovelY_1,cnovelY,6,16
mNovelY_1,cnovelY,7,24.66666667
mNovelY_1,cnovelY,8,67.5
mNovelY_1,cnovelY,9,67.6
nNovelY_2,cnovelY,1,60.2
nNovelY_2,cnovelY,2,87.75
nNovelY_2,cnovelY,3,68
nNovelY_2,cnovelY,4,59.8
nNovelY_2,cnovelY,5,64.2
nNovelY_2,cnovelY,6,76.8
nNovelY_2,cnovelY,7,53
nNovelY_2,cnovelY,8,77.8
nNovelY_2,cnovelY,9,66.5
