population,treatment,block,vial,red,total
aLHm,awt,A,1,158,510
aLHm,awt,A,2,86,513
aLHm,awt,A,3,135,474
aLHm,awt,A,4,112,364
aLHm,awt,A,5,67,460
aLHm,awt,A,6,108,474
aLHm,awt,A,7,99,466
aLHm,awt,B,1,202,525
aLHm,awt,B,2,187,514
aLHm,awt,B,3,154,562
aLHm,awt,B,4,115,413
aLHm,awt,B,5,69,345
aLHm,awt,B,6,277,567
aLHm,awt,B,7,183,490
bLHm-Tx,bnovelX,A,1,140,406
bLHm-Tx,bnovelX,A,2,95,436
bLHm-Tx,bnovelX,A,3,86,482
bLHm-Tx,bnovelX,A,4,107,411
bLHm-Tx,bnovelX,A,5,57,464
bLHm-Tx,bnovelX,A,6,105,504
bLHm-Tx,bnovelX,A,7,193,485
bLHm-Tx,bnovelX,B,1,140,445
bLHm-Tx,bnovelX,B,2,86,370
bLHm-Tx,bnovelX,B,3,94,464
bLHm-Tx,bnovelX,B,4,69,364
bLHm-Tx,bnovelX,B,5,109,404
bLHm-Tx,bnovelX,B,6,162,499
bLHm-Tx,bnovelX,B,7,145,429
cLHm-Ty,cnovelY,A,1,2,546
cLHm-Ty,cnovelY,A,2,120,486
cLHm-Ty,cnovelY,A,3,154,537
cLHm-Ty,cnovelY,A,4,156,551
cLHm-Ty,cnovelY,A,5,127,515
cLHm-Ty,cnovelY,A,6,186,489
cLHm-Ty,cnovelY,A,7,NA,NA
cLHm-Ty,cnovelY,B,1,110,464
cLHm-Ty,cnovelY,B,2,171,433
cLHm-Ty,cnovelY,B,3,147,517
cLHm-Ty,cnovelY,B,4,162,396
cLHm-Ty,cnovelY,B,5,123,402
cLHm-Ty,cnovelY,B,6,44,379
cLHm-Ty,cnovelY,B,7,83,422
dLHm-Ix,bnovelX,A,1,85,404
dLHm-Ix,bnovelX,A,2,140,558
dLHm-Ix,bnovelX,A,3,123,369
dLHm-Ix,bnovelX,A,4,58,394
dLHm-Ix,bnovelX,A,5,102,407
dLHm-Ix,bnovelX,A,6,128,431
dLHm-Ix,bnovelX,A,7,97,448
