population,deltafitness
aInnXY-LHm,-0.178645745
aInnXY-LHm,0.068463849
aInnXY-LHm,0.039692222
aInnXY-LHm,-0.17009454
aInnXY-LHm,-0.221816005
aInnXY-LHm,-0.10113854
aInnXY-LHm,-0.088186049
aInnXY-LHm,-0.028848302
aInnXY-LHm,-0.072653365
aInnXY-LHm,0.006499366
aInnXY-LHm,0.062496425
aInnXY-LHm,-0.02196229
aInnXY-LHm,-0.129990427
aInnXY-LHm,-0.123684894
aInnXY-LHm,0.12580424
aInnXY-LHm,-0.120927379
aInnXY-LHm,0.013754071
aInnXY-LHm,0.067002035
aInnXY-LHm,-0.003416574
aInnXY-LHm,-0.102077071
aInnXY-LHm,0.087362831
aInnXY-LHm,0.076512684
aInnXY-LHm,0.069327037
aInnXY-LHm,-0.130890681
aInnXY-LHm,-0.251873795
aInnXY-LHm,-0.1453611
aInnXY-LHm,-0.210371018
aInnXY-LHm,0.004079992
aInnXY-LHm,0.151303185
aInnXY-LHm,-0.051446371
aInnXY-LHm,0.0829568
aInnXY-LHm,-0.138140466
aInnXY-LHm,-0.082736358
aInnXY-LHm,-0.238674287
aInnXY-LHm,-0.170873443
aInnXY-LHm,-0.081806747
aInnXY-LHm,0.063760034
aInnXY-LHm,-0.040136117
aInnXY-LHm,-0.170759868
aInnXY-LHm,-0.232901197
aInnXY-LHm,-0.184608921
aInnXY-LHm,-0.034552433
aInnXY-LHm,-0.124840256
aInnXY-LHm,-0.107678936
aInnXY-LHm,-0.223424312
aInnXY-LHm,0.002909895
aInnXY-LHm,-0.099608413
aInnXY-LHm,-0.17545222
aInnXY-LHm,-0.302080307
aInnXY-LHm,0.1468626
aInnXY-LHm,-0.08798615
aInnXY-LHm,-0.007034807
aInnXY-LHm,0.070513336
aInnXY-LHm,-0.176676668
aInnXY-LHm,-0.096389847
aInnXY-LHm,-0.201358492
aInnXY-LHm,0.058961076
aInnXY-LHm,-0.025228601
aInnXY-LHm,0.011013265
aInnXY-LHm,0.021536772
aInnXY-LHm,0.14402412
aInnXY-LHm,0.036878003
aInnXY-LHm,0.080007042
aInnXY-LHm,-0.06687293
aInnXY-LHm,-0.014033076
aInnXY-LHm,-0.002899553
aInnXY-LHm,-0.120631318
aInnXY-LHm,-0.189946407
aInnXY-LHm,-0.158456554
aInnXY-LHm,-0.139514582
aInnXY-LHm,0.099082435
aInnXY-LHm,-0.10075002
aInnXY-LHm,-0.100342169
aInnXY-LHm,-0.014469027
aInnXY-LHm,-0.087304808
aInnXY-LHm,-0.111020142
aInnXY-LHm,-0.094278767
aInnXY-LHm,-0.036725602
aInnXY-LHm,-0.101806677
aInnXY-LHm,-0.067239518
aInnXY-LHm,0.033576585
aInnXY-LHm,0.017652197
aInnXY-LHm,-0.077828492
aInnXY-LHm,-0.126465727
aInnXY-LHm,-0.047052252
aInnXY-LHm,-0.02406628
aInnXY-LHm,-0.079209777
aInnXY-LHm,-0.119996727
aInnXY-LHm,0.03127468
aInnXY-LHm,-0.131216244
aInnXY-LHm,-0.093673319
aInnXY-LHm,-0.012055404
aInnXY-LHm,-0.059500518
aInnXY-LHm,-0.399636327
aInnXY-LHm,-0.054886353
aInnXY-LHm,-0.226245428
aInnXY-LHm,-0.138307732
aInnXY-LHm,0.029103131
aInnXY-LHm,-0.258646699
aInnXY-LHm,-0.180120025
aInnXY-LHm,0.014270069
aInnXY-LHm,-0.002772693
aInnXY-LHm,-0.042273262
aInnXY-LHm,-0.103784917
aInnXY-LHm,0.145661408
aInnXY-LHm,-0.100586751
aInnXY-LHm,-0.09617685
aInnXY-LHm,-0.089773002
aInnXY-LHm,-0.01778677
aInnXY-LHm,0.056825731
aInnXY-LHm,-0.221530002
aInnXY-LHm,-0.09158523
aInnXY-LHm,-0.088053518
aInnXY-LHm,-0.206741728
aInnXY-LHm,-0.113707824
aInnXY-LHm,-0.059353114
aInnXY-LHm,-0.251435289
aInnXY-LHm,-0.038607135
aInnXY-LHm,0.028014874
aInnXY-LHm,-0.011589861
aInnXY-LHm,-0.075255182
aInnXY-LHm,0.015502733
aInnXY-LHm,0.022858827
aInnXY-LHm,-0.035604849
aInnXY-LHm,-0.118574259
aInnXY-LHm,-0.100514217
aInnXY-LHm,-0.028251235
aInnXY-LHm,-0.05327895
aInnXY-LHm,-0.124305773
aInnXY-LHm,0.013957046
aInnXY-LHm,0.003128595
aInnXY-LHm,-0.131786347
aInnXY-LHm,-0.109704985
aInnXY-LHm,-0.137332889
aInnXY-LHm,0.083793424
aInnXY-LHm,-0.104938212
aInnXY-LHm,0.054800352
aInnXY-LHm,-0.052024605
aInnXY-LHm,-0.176103205
aInnXY-LHm,-0.087172304
aInnXY-LHm,0.012993825
aInnXY-LHm,-0.05619295
aInnXY-LHm,-0.023672376
aInnXY-LHm,-0.123309323
aInnXY-LHm,-0.090398349
aInnXY-LHm,-0.051387283
aInnXY-LHm,0.005510151
aInnXY-LHm,-0.095122313
aInnXY-LHm,0.005220591
aInnXY-LHm,-0.122562394
aInnXY-LHm,-0.09613793
aInnXY-LHm,-0.05048018
aInnXY-LHm,-0.116456671
aInnXY-LHm,-0.100028566
aInnXY-LHm,-0.122776747
aInnXY-LHm,-0.030450524
aInnXY-LHm,-0.119494835
aInnXY-LHm,-0.099176565
aInnXY-LHm,-0.179945193
aInnXY-LHm,-0.063244852
aInnXY-LHm,-0.218560462
aInnXY-LHm,-0.300466179
aInnXY-LHm,-0.261843631
aInnXY-LHm,-0.069746855
aInnXY-LHm,-0.055757325
aInnXY-LHm,-0.038597958
aInnXY-LHm,-0.078302131
aInnXY-LHm,-0.096605816
aInnXY-LHm,0.038611354
aInnXY-LHm,-0.03152492
aInnXY-LHm,-0.217538721
aInnXY-LHm,-0.070077407
aInnXY-LHm,-0.061615723
aInnXY-LHm,-0.154123215
aInnXY-LHm,-0.042907751
aInnXY-LHm,-0.057566592
aInnXY-LHm,0.04400592
aInnXY-LHm,-0.147415982
aInnXY-LHm,-0.018285008
aInnXY-LHm,-0.081364865
aInnXY-LHm,-0.138547349
aInnXY-LHm,-0.059624828
aInnXY-LHm,-0.008407585
aInnXY-LHm,-0.112198505
aInnXY-LHm,-0.026571342
aInnXY-LHm,-0.237872722
aInnXY-LHm,-0.060536442
aInnXY-LHm,0.027058477
aInnXY-LHm,-0.136456578
aInnXY-LHm,0.002565069
aInnXY-LHm,-0.034147118
aInnXY-LHm,-0.101178847
aInnXY-LHm,0.125385669
aInnXY-LHm,0.050893728
