population,treatment,vial,red,total
aLHm,awt,1,121,650
aLHm,awt,2,285,982
aLHm,awt,3,283,968
aLHm,awt,4,430,1074
aLHm,awt,5,217,1110
aLHm,awt,6,139,941
aLHm,awt,7,457,976
aLHm,awt,8,230,991
aLHm,awt,9,357,957
aLHm,awt,10,214,870
bLHm-Ixy,bnovelXY,1,136,405
bLHm-Ixy,bnovelXY,2,200,1043
bLHm-Ixy,bnovelXY,3,154,901
bLHm-Ixy,bnovelXY,4,336,938
bLHm-Ixy,bnovelXY,5,358,932
bLHm-Ixy,bnovelXY,6,118,962
bLHm-Ixy,bnovelXY,7,347,1042
bLHm-Ixy,bnovelXY,8,275,844
bLHm-Ixy,bnovelXY,9,216,878
bLHm-Ixy,bnovelXY,10,53,811
cInnisfail,awt,1,350,937
cInnisfail,awt,2,126,915
cInnisfail,awt,3,101,587
cInnisfail,awt,4,278,948
cInnisfail,awt,5,363,1089
cInnisfail,awt,6,167,867
cInnisfail,awt,7,162,943
cInnisfail,awt,8,197,643
cInnisfail,awt,9,100,527
cInnisfail,awt,10,174,693
dInn-Lxy,bnovelXY,1,78,527
dInn-Lxy,bnovelXY,2,12,905
dInn-Lxy,bnovelXY,3,240,899
dInn-Lxy,bnovelXY,4,277,795
dInn-Lxy,bnovelXY,5,85,820
dInn-Lxy,bnovelXY,6,128,498
dInn-Lxy,bnovelXY,7,314,1274
dInn-Lxy,bnovelXY,8,163,865
dInn-Lxy,bnovelXY,9,159,867
dInn-Lxy,bnovelXY,10,234,732
eInn-Oxy,bnovelXY,1,237,927
eInn-Oxy,bnovelXY,2,178,1007
eInn-Oxy,bnovelXY,3,235,950
eInn-Oxy,bnovelXY,4,255,836
eInn-Oxy,bnovelXY,5,442,1106
eInn-Oxy,bnovelXY,6,97,854
eInn-Oxy,bnovelXY,7,306,946
eInn-Oxy,bnovelXY,8,205,842
eInn-Oxy,bnovelXY,9,256,739
eInn-Oxy,bnovelXY,10,237,845
fOdder,awt,1,216,896
fOdder,awt,2,160,830
fOdder,awt,3,229,706
fOdder,awt,4,131,726
fOdder,awt,5,281,767
fOdder,awt,6,346,722
fOdder,awt,7,325,985
fOdder,awt,8,234,949
fOdder,awt,9,159,950
fOdder,awt,10,176,918
gOdd-Ixy,bnovelXY,1,281,634
gOdd-Ixy,bnovelXY,2,235,877
gOdd-Ixy,bnovelXY,3,247,730
gOdd-Ixy,bnovelXY,4,126,623
gOdd-Ixy,bnovelXY,5,57,654
gOdd-Ixy,bnovelXY,6,129,607
gOdd-Ixy,bnovelXY,7,120,782
gOdd-Ixy,bnovelXY,8,184,845
gOdd-Ixy,bnovelXY,9,236,1017
gOdd-Ixy,bnovelXY,10,131,868
hOdd-Dxy,bnovelXY,1,269,830
hOdd-Dxy,bnovelXY,2,258,896
hOdd-Dxy,bnovelXY,3,320,964
hOdd-Dxy,bnovelXY,4,174,922
hOdd-Dxy,bnovelXY,5,107,994
hOdd-Dxy,bnovelXY,6,190,917
hOdd-Dxy,bnovelXY,7,339,1065
hOdd-Dxy,bnovelXY,8,312,849
hOdd-Dxy,bnovelXY,9,299,957
hOdd-Dxy,bnovelXY,10,299,910
iDahomey,awt,1,168,820
iDahomey,awt,2,111,871
iDahomey,awt,3,190,745
iDahomey,awt,4,131,545
iDahomey,awt,5,112,736
iDahomey,awt,6,46,816
iDahomey,awt,7,73,889
iDahomey,awt,8,138,809
iDahomey,awt,9,172,787
iDahomey,awt,10,126,649
jDah-Oxy,bnovelXY,1,316,1060
jDah-Oxy,bnovelXY,2,378,1035
jDah-Oxy,bnovelXY,3,129,958
jDah-Oxy,bnovelXY,4,156,870
jDah-Oxy,bnovelXY,5,91,748
jDah-Oxy,bnovelXY,6,210,782
jDah-Oxy,bnovelXY,7,286,824
jDah-Oxy,bnovelXY,8,135,842
jDah-Oxy,bnovelXY,9,102,848
jDah-Oxy,bnovelXY,10,93,858
