population,deltaProp_male
aLHmX-Inn,-0.060125236
aLHmX-Inn,-0.009911345
aLHmX-Inn,-0.031129306
aLHmX-Inn,-0.028104957
aLHmX-Inn,0.001221389
aLHmX-Inn,-0.01470219
aLHmX-Inn,-0.00889004
aLHmX-Inn,-0.044932784
aLHmX-Inn,-0.025582749
aLHmX-Inn,-0.029613807
aLHmX-Inn,-0.029442266
aLHmX-Inn,-0.00637904
aLHmX-Inn,-0.008138509
aLHmX-Inn,-0.029742021
aLHmX-Inn,-0.031967111
aLHmX-Inn,0.001410238
aLHmX-Inn,-0.006517959
aLHmX-Inn,0.001414875
aLHmX-Inn,-0.00137571
aLHmX-Inn,-0.043766007
aLHmX-Inn,0.012361128
aLHmX-Inn,-0.005636371
aLHmX-Inn,-0.0238894
aLHmX-Inn,-0.013684112
aLHmX-Inn,-0.043743779
aLHmX-Inn,-0.035360949
aLHmX-Inn,-0.020754329
aLHmX-Inn,-0.010736574
aLHmX-Inn,0.000170991
aLHmX-Inn,-0.021413049
aLHmX-Inn,-0.02117562
aLHmX-Inn,-0.022453124
aLHmX-Inn,-0.012157029
aLHmX-Inn,-0.02178754
aLHmX-Inn,-0.017113235
aLHmX-Inn,-0.030025775
aLHmX-Inn,-0.039807322
aLHmX-Inn,-0.001453768
aLHmX-Inn,-0.015094585
aLHmX-Inn,-0.002794387
aLHmX-Inn,0.005111357
aLHmX-Inn,-0.042768952
aLHmX-Inn,-0.036577364
aLHmX-Inn,-0.025889867
aLHmX-Inn,-0.018450243
aLHmX-Inn,-0.007280585
aLHmX-Inn,0.002147673
aLHmX-Inn,-0.04354636
aLHmX-Inn,-0.030444659
aLHmX-Inn,-0.027352995
aLHmX-Inn,-0.039387276
aLHmX-Inn,0.024712221
aLHmX-Inn,-0.02122902
aLHmX-Inn,-0.016097823
aLHmX-Inn,-0.020756791
aLHmX-Inn,-0.044828679
aLHmX-Inn,-0.036098476
aLHmX-Inn,-0.027681331
aLHmX-Inn,-0.004947323
aLHmX-Inn,-0.010675422
aLHmX-Inn,0.003092027
aLHmX-Inn,0.016479097
aLHmX-Inn,-0.033770622
aLHmX-Inn,-0.027433802
aLHmX-Inn,-0.003260559
aLHmX-Inn,-0.048524353
aLHmX-Inn,-0.008208095
aLHmX-Inn,0.000690585
aLHmX-Inn,0.006679466
aLHmX-Inn,-0.005570212
aLHmX-Inn,-0.024323239
aLHmX-Inn,-0.018511703
aLHmX-Inn,-0.011578967
aLHmX-Inn,-0.044342545
aLHmX-Inn,0.005051695
aLHmX-Inn,-0.05953439
aLHmX-Inn,-0.008053008
aLHmX-Inn,0.003977642
aLHmX-Inn,-0.025989168
aLHmX-Inn,-0.015526159
aLHmX-Inn,0.025472294
aLHmX-Inn,-0.061624939
aLHmX-Inn,-0.021002984
aLHmX-Inn,-0.011403517
aLHmX-Inn,-0.017398157
aLHmX-Inn,-0.014516495
aLHmX-Inn,-0.018289156
aLHmX-Inn,-0.024641761
aLHmX-Inn,-0.010566658
aLHmX-Inn,-0.017988961
aLHmX-Inn,-0.001812292
aLHmX-Inn,-0.016783795
aLHmX-Inn,-0.0153498
