population,treatment,block,vial,male,total
aLHm,awt,A,1,38,90
aLHm,awt,A,2,49,89
aLHm,awt,A,3,41,73
aLHm,awt,A,4,42,86
aLHm,awt,A,5,42,86
aLHm,awt,B,1,50,92
aLHm,awt,B,2,45,89
aLHm,awt,B,3,49,86
aLHm,awt,B,4,43,94
aLHm,awt,B,5,51,91
bInnisfail,awt,A,1,41,84
bInnisfail,awt,A,2,32,60
bInnisfail,awt,A,3,42,76
bInnisfail,awt,A,4,41,72
bInnisfail,awt,A,5,47,88
bInnisfail,awt,B,1,43,77
bInnisfail,awt,B,2,35,65
bInnisfail,awt,B,3,48,89
bInnisfail,awt,B,4,40,86
bInnisfail,awt,B,5,38,89
cInn-Lx,bnovelX,A,1,43,82
cInn-Lx,bnovelX,A,2,45,87
cInn-Lx,bnovelX,A,3,34,83
cInn-Lx,bnovelX,A,4,28,59
cInn-Lx,bnovelX,A,5,36,72
cInn-Lx,bnovelX,B,1,42,86
cInn-Lx,bnovelX,B,2,47,87
cInn-Lx,bnovelX,B,3,47,92
cInn-Lx,bnovelX,B,4,45,89
cInn-Lx,bnovelX,B,5,36,69
dInn-Ly,cnovelY,A,1,55,107
dInn-Ly,cnovelY,A,2,42,85
dInn-Ly,cnovelY,A,3,43,83
dInn-Ly,cnovelY,A,4,37,86
dInn-Ly,cnovelY,A,5,42,86
dInn-Ly,cnovelY,B,1,47,77
dInn-Ly,cnovelY,B,2,52,93
dInn-Ly,cnovelY,B,3,43,89
dInn-Ly,cnovelY,B,4,41,81
dInn-Ly,cnovelY,B,5,44,85
eInn-Ox,bnovelX,A,1,43,73
eInn-Ox,bnovelX,A,2,38,80
eInn-Ox,bnovelX,A,3,39,77
eInn-Ox,bnovelX,A,4,36,77
eInn-Ox,bnovelX,A,5,34,65
eInn-Ox,bnovelX,B,1,48,86
eInn-Ox,bnovelX,B,2,44,85
eInn-Ox,bnovelX,B,3,42,74
eInn-Ox,bnovelX,B,4,37,78
eInn-Ox,bnovelX,B,5,35,71
fInn-Oy,cnovelY,A,1,40,85
fInn-Oy,cnovelY,A,2,36,77
fInn-Oy,cnovelY,A,3,30,64
fInn-Oy,cnovelY,A,4,41,80
fInn-Oy,cnovelY,A,5,53,87
fInn-Oy,cnovelY,B,1,45,96
fInn-Oy,cnovelY,B,2,55,83
fInn-Oy,cnovelY,B,3,45,94
fInn-Oy,cnovelY,B,4,48,86
fInn-Oy,cnovelY,B,5,31,82
gOdder,awt,A,1,40,65
gOdder,awt,A,2,24,49
gOdder,awt,A,3,30,61
gOdder,awt,A,4,39,75
gOdder,awt,A,5,29,60
gOdder,awt,B,1,31,50
gOdder,awt,B,2,38,73
gOdder,awt,B,3,43,81
gOdder,awt,B,4,44,85
gOdder,awt,B,5,36,82
hOdd-Ix,bnovelX,A,1,38,73
hOdd-Ix,bnovelX,A,2,39,82
hOdd-Ix,bnovelX,A,3,35,75
hOdd-Ix,bnovelX,A,4,16,30
hOdd-Ix,bnovelX,A,5,25,51
hOdd-Ix,bnovelX,B,1,34,63
hOdd-Ix,bnovelX,B,2,45,83
hOdd-Ix,bnovelX,B,3,35,76
hOdd-Ix,bnovelX,B,4,22,45
hOdd-Ix,bnovelX,B,5,33,67
iOdd-Iy,cnovelY,A,1,41,80
iOdd-Iy,cnovelY,A,2,35,63
iOdd-Iy,cnovelY,A,3,45,78
iOdd-Iy,cnovelY,A,4,36,74
iOdd-Iy,cnovelY,A,5,46,78
iOdd-Iy,cnovelY,B,1,38,89
iOdd-Iy,cnovelY,B,2,38,86
iOdd-Iy,cnovelY,B,3,36,81
iOdd-Iy,cnovelY,B,4,27,55
iOdd-Iy,cnovelY,B,5,45,83
jOdd-Dx,bnovelX,A,1,38,72
jOdd-Dx,bnovelX,A,2,23,49
jOdd-Dx,bnovelX,A,3,33,65
jOdd-Dx,bnovelX,A,4,44,73
jOdd-Dx,bnovelX,A,5,33,68
jOdd-Dx,bnovelX,B,1,22,47
jOdd-Dx,bnovelX,B,2,15,43
jOdd-Dx,bnovelX,B,3,45,81
jOdd-Dx,bnovelX,B,4,31,80
jOdd-Dx,bnovelX,B,5,39,76
kOdd-Dy,cnovelY,A,1,30,67
kOdd-Dy,cnovelY,A,2,44,77
kOdd-Dy,cnovelY,A,3,38,75
kOdd-Dy,cnovelY,A,4,37,80
kOdd-Dy,cnovelY,A,5,26,48
kOdd-Dy,cnovelY,B,1,45,88
kOdd-Dy,cnovelY,B,2,34,77
kOdd-Dy,cnovelY,B,3,39,77
kOdd-Dy,cnovelY,B,4,56,91
kOdd-Dy,cnovelY,B,5,39,85
lDahomey,awt,A,1,27,57
lDahomey,awt,A,2,30,66
lDahomey,awt,A,3,39,63
lDahomey,awt,A,4,49,85
lDahomey,awt,A,5,41,80
lDahomey,awt,B,1,52,90
lDahomey,awt,B,2,43,91
lDahomey,awt,B,3,39,84
lDahomey,awt,B,4,54,93
lDahomey,awt,B,5,50,89
