population,deltaprop_red
aLHmX-Inn,0.064721778
aLHmX-Inn,0.106468271
aLHmX-Inn,0.167182867
aLHmX-Inn,0.040713808
aLHmX-Inn,0.170291585
aLHmX-Inn,0.032647069
aLHmX-Inn,0.103979439
aLHmX-Inn,0.122088792
aLHmX-Inn,0.101317757
aLHmX-Inn,0.092579632
aLHmX-Inn,0.11343076
aLHmX-Inn,0.120440671
aLHmX-Inn,0.043078647
aLHmX-Inn,0.089258848
aLHmX-Inn,0.127347053
aLHmX-Inn,0.081840968
aLHmX-Inn,0.020092761
aLHmX-Inn,0.167359183
aLHmX-Inn,0.045152976
aLHmX-Inn,0.096717497
aLHmX-Inn,0.057541467
aLHmX-Inn,-0.015059218
aLHmX-Inn,0.089403465
aLHmX-Inn,0.032906107
aLHmX-Inn,0.117382434
aLHmX-Inn,0.076289034
aLHmX-Inn,0.020412173
aLHmX-Inn,0.190083078
aLHmX-Inn,0.099237888
aLHmX-Inn,0.088123018
aLHmX-Inn,0.17367887
aLHmX-Inn,0.084688953
aLHmX-Inn,0.019505291
aLHmX-Inn,0.077679849
aLHmX-Inn,0.061183923
aLHmX-Inn,0.137586367
aLHmX-Inn,0.088591646
aLHmX-Inn,0.068887744
aLHmX-Inn,0.06604636
aLHmX-Inn,0.081738411
aLHmX-Inn,0.024392258
aLHmX-Inn,0.141406246
aLHmX-Inn,0.045338617
aLHmX-Inn,0.06460071
aLHmX-Inn,0.047281299
aLHmX-Inn,0.051613584
aLHmX-Inn,0.115144622
aLHmX-Inn,0.104704583
aLHmX-Inn,0.099886977
aLHmX-Inn,0.058797935
aLHmX-Inn,0.161111517
aLHmX-Inn,0.075864607
aLHmX-Inn,0.063173094
aLHmX-Inn,0.124188426
aLHmX-Inn,0.118852877
aLHmX-Inn,0.07355064
aLHmX-Inn,0.107233786
aLHmX-Inn,0.146573942
aLHmX-Inn,0.100923132
aLHmX-Inn,0.06371048
aLHmX-Inn,0.137928408
aLHmX-Inn,0.05185188
aLHmX-Inn,0.147667661
aLHmX-Inn,0.124155339
aLHmX-Inn,0.071834467
aLHmX-Inn,0.139104178
aLHmX-Inn,0.049165081
aLHmX-Inn,0.047660047
aLHmX-Inn,0.128445886
aLHmX-Inn,0.072257662
aLHmX-Inn,-0.003162797
aLHmX-Inn,0.144235618
aLHmX-Inn,0.150163009
aLHmX-Inn,0.043298276
aLHmX-Inn,0.086358358
aLHmX-Inn,0.190159827
aLHmX-Inn,0.070608472
aLHmX-Inn,0.120482968
aLHmX-Inn,0.130922307
aLHmX-Inn,0.127169183
aLHmX-Inn,0.089691445
aLHmX-Inn,0.179864416
aLHmX-Inn,0.034114746
aLHmX-Inn,0.102180812
aLHmX-Inn,0.068606819
aLHmX-Inn,0.118397252
aLHmX-Inn,0.090686825
