population,treatment,block,vial,red,total
aLHm,awt,A,1,23,41
aLHm,awt,A,2,95,99
aLHm,awt,A,3,60,61
aLHm,awt,A,4,18,21
aLHm,awt,A,5,89,99
aLHm,awt,A,6,55,58
aLHm,awt,A,7,62,89
aLHm,awt,B,1,86,94
aLHm,awt,B,2,35,42
aLHm,awt,B,3,70,73
aLHm,awt,B,4,63,69
aLHm,awt,B,5,63,66
aLHm,awt,B,6,50,52
aLHm,awt,B,7,44,62
bInnisfail,awt,A,1,61,74
bInnisfail,awt,A,2,59,76
bInnisfail,awt,A,3,97,113
bInnisfail,awt,A,4,54,69
bInnisfail,awt,A,5,62,119
bInnisfail,awt,A,6,52,74
bInnisfail,awt,A,7,82,88
bInnisfail,awt,B,1,91,92
bInnisfail,awt,B,2,57,59
bInnisfail,awt,B,3,75,81
bInnisfail,awt,B,4,54,56
bInnisfail,awt,B,5,119,124
bInnisfail,awt,B,6,73,87
bInnisfail,awt,B,7,32,51
cInn-Lx,bnovelX,A,1,62,85
cInn-Lx,bnovelX,A,2,57,59
cInn-Lx,bnovelX,A,3,76,88
cInn-Lx,bnovelX,A,4,96,121
cInn-Lx,bnovelX,A,5,38,38
cInn-Lx,bnovelX,A,6,56,58
cInn-Lx,bnovelX,A,7,37,37
cInn-Lx,bnovelX,B,1,79,81
cInn-Lx,bnovelX,B,2,58,62
cInn-Lx,bnovelX,B,3,55,55
cInn-Lx,bnovelX,B,4,54,54
cInn-Lx,bnovelX,B,5,86,88
cInn-Lx,bnovelX,B,6,27,38
cInn-Lx,bnovelX,B,7,36,36
dInn-Ly,cnovelY,A,1,38,54
dInn-Ly,cnovelY,A,2,72,77
dInn-Ly,cnovelY,A,3,53,53
dInn-Ly,cnovelY,A,4,68,87
dInn-Ly,cnovelY,A,5,57,59
dInn-Ly,cnovelY,A,6,36,36
dInn-Ly,cnovelY,A,7,36,36
dInn-Ly,cnovelY,B,1,79,81
dInn-Ly,cnovelY,B,2,93,106
dInn-Ly,cnovelY,B,3,81,88
dInn-Ly,cnovelY,B,4,65,71
dInn-Ly,cnovelY,B,5,125,129
dInn-Ly,cnovelY,B,6,39,48
dInn-Ly,cnovelY,B,7,48,48
eInn-Ox,bnovelX,A,1,37,40
eInn-Ox,bnovelX,A,2,70,75
eInn-Ox,bnovelX,A,3,41,62
eInn-Ox,bnovelX,A,4,46,48
eInn-Ox,bnovelX,A,5,49,62
eInn-Ox,bnovelX,A,6,55,63
eInn-Ox,bnovelX,A,7,100,106
eInn-Ox,bnovelX,B,1,73,80
eInn-Ox,bnovelX,B,2,13,17
eInn-Ox,bnovelX,B,3,74,84
eInn-Ox,bnovelX,B,4,96,99
eInn-Ox,bnovelX,B,5,62,68
eInn-Ox,bnovelX,B,6,63,76
eInn-Ox,bnovelX,B,7,40,42
fInn-Oy,cnovelY,A,1,95,101
fInn-Oy,cnovelY,A,2,46,49
fInn-Oy,cnovelY,A,3,51,51
fInn-Oy,cnovelY,A,4,104,110
fInn-Oy,cnovelY,A,5,42,44
fInn-Oy,cnovelY,A,6,90,103
fInn-Oy,cnovelY,A,7,142,144
fInn-Oy,cnovelY,B,1,72,77
fInn-Oy,cnovelY,B,2,64,71
fInn-Oy,cnovelY,B,3,80,89
fInn-Oy,cnovelY,B,4,86,90
fInn-Oy,cnovelY,B,5,28,35
fInn-Oy,cnovelY,B,6,39,59
fInn-Oy,cnovelY,B,7,62,65
gOdder,awt,A,1,81,98
gOdder,awt,A,2,60,68
gOdder,awt,A,3,56,58
gOdder,awt,A,4,54,55
gOdder,awt,A,5,68,69
gOdder,awt,A,6,56,61
gOdder,awt,A,7,41,49
gOdder,awt,B,1,55,59
gOdder,awt,B,2,53,60
gOdder,awt,B,3,61,75
gOdder,awt,B,4,36,36
gOdder,awt,B,5,76,78
gOdder,awt,B,6,76,87
gOdder,awt,B,7,26,26
hOdd-Ix,bnovelX,A,1,55,68
hOdd-Ix,bnovelX,A,2,26,28
hOdd-Ix,bnovelX,A,3,70,83
hOdd-Ix,bnovelX,A,4,59,60
hOdd-Ix,bnovelX,A,5,31,45
hOdd-Ix,bnovelX,A,6,56,59
hOdd-Ix,bnovelX,A,7,2,6
hOdd-Ix,bnovelX,B,1,44,54
hOdd-Ix,bnovelX,B,2,65,68
hOdd-Ix,bnovelX,B,3,57,79
hOdd-Ix,bnovelX,B,4,45,67
hOdd-Ix,bnovelX,B,5,24,24
hOdd-Ix,bnovelX,B,6,45,45
hOdd-Ix,bnovelX,B,7,32,33
iOdd-Iy,cnovelY,A,1,100,121
iOdd-Iy,cnovelY,A,2,42,45
iOdd-Iy,cnovelY,A,3,56,59
iOdd-Iy,cnovelY,A,4,71,76
iOdd-Iy,cnovelY,A,5,69,73
iOdd-Iy,cnovelY,A,6,69,88
iOdd-Iy,cnovelY,A,7,67,92
iOdd-Iy,cnovelY,B,1,43,52
iOdd-Iy,cnovelY,B,2,62,65
iOdd-Iy,cnovelY,B,3,55,58
iOdd-Iy,cnovelY,B,4,49,61
iOdd-Iy,cnovelY,B,5,38,41
iOdd-Iy,cnovelY,B,6,49,49
iOdd-Iy,cnovelY,B,7,35,41
jOdd-Dx,bnovelX,A,1,71,88
jOdd-Dx,bnovelX,A,2,41,41
