population,treatment,male,size_mm
aLHm,awt,1,0.80952381
aLHm,awt,2,0.80952381
aLHm,awt,3,0.825396825
aLHm,awt,4,0.80952381
aLHm,awt,5,0.793650794
aLHm,awt,6,0.793650794
aLHm,awt,7,0.793650794
aLHm,awt,8,0.714285714
aLHm,awt,9,0.825396825
aLHm,awt,10,0.80952381
aLHm,awt,11,0.793650794
aLHm,awt,12,0.793650794
aLHm,awt,13,0.793650794
aLHm,awt,14,0.793650794
aLHm,awt,15,0.80952381
aLHm,awt,16,0.777777778
aLHm,awt,17,0.746031746
aLHm,awt,18,0.793650794
aLHm,awt,19,0.793650794
aLHm,awt,20,0.825396825
aLHm,awt,21,0.825396825
aLHm,awt,22,0.825396825
aLHm,awt,23,0.793650794
aLHm,awt,24,0.825396825
aLHm,awt,25,0.761904762
aLHm,awt,26,0.793650794
aLHm,awt,27,0.793650794
aLHm,awt,28,0.777777778
aLHm,awt,29,0.80952381
aLHm,awt,30,0.825396825
aLHm,awt,31,0.825396825
aLHm,awt,32,0.793650794
aLHm,awt,33,0.793650794
aLHm,awt,34,0.793650794
aLHm,awt,35,0.793650794
aLHm,awt,36,0.793650794
aLHm,awt,37,0.80952381
aLHm,awt,38,0.793650794
aLHm,awt,39,0.777777778
aLHm,awt,40,0.793650794
aLHm,awt,41,0.793650794
aLHm,awt,42,0.793650794
aLHm,awt,43,0.825396825
aLHm,awt,44,0.793650794
aLHm,awt,45,0.793650794
aLHm,awt,46,0.714285714
aLHm,awt,47,0.793650794
aLHm,awt,48,0.761904762
aLHm,awt,49,0.825396825
bLHm-Tx,bnovelX,1,0.888888889
bLHm-Tx,bnovelX,2,0.873015873
bLHm-Tx,bnovelX,3,0.841269841
bLHm-Tx,bnovelX,4,0.873015873
bLHm-Tx,bnovelX,5,0.841269841
bLHm-Tx,bnovelX,6,0.873015873
bLHm-Tx,bnovelX,7,0.841269841
bLHm-Tx,bnovelX,8,0.873015873
bLHm-Tx,bnovelX,9,0.793650794
bLHm-Tx,bnovelX,10,0.873015873
bLHm-Tx,bnovelX,11,0.857142857
bLHm-Tx,bnovelX,12,0.793650794
bLHm-Tx,bnovelX,13,0.841269841
bLHm-Tx,bnovelX,14,0.793650794
bLHm-Tx,bnovelX,15,0.857142857
bLHm-Tx,bnovelX,16,0.857142857
bLHm-Tx,bnovelX,17,0.873015873
bLHm-Tx,bnovelX,18,0.873015873
bLHm-Tx,bnovelX,19,0.857142857
bLHm-Tx,bnovelX,20,0.857142857
bLHm-Tx,bnovelX,21,0.857142857
bLHm-Tx,bnovelX,22,0.80952381
bLHm-Tx,bnovelX,23,0.873015873
bLHm-Tx,bnovelX,24,0.841269841
bLHm-Tx,bnovelX,25,0.857142857
bLHm-Tx,bnovelX,26,0.841269841
bLHm-Tx,bnovelX,27,0.825396825
bLHm-Tx,bnovelX,28,0.793650794
bLHm-Tx,bnovelX,29,0.873015873
bLHm-Tx,bnovelX,30,0.857142857
bLHm-Tx,bnovelX,31,0.873015873
bLHm-Tx,bnovelX,32,0.873015873
bLHm-Tx,bnovelX,33,0.825396825
bLHm-Tx,bnovelX,34,0.841269841
bLHm-Tx,bnovelX,35,0.793650794
bLHm-Tx,bnovelX,36,0.857142857
bLHm-Tx,bnovelX,37,0.873015873
bLHm-Tx,bnovelX,38,0.873015873
bLHm-Tx,bnovelX,39,0.873015873
bLHm-Tx,bnovelX,40,0.841269841
bLHm-Tx,bnovelX,41,0.857142857
bLHm-Tx,bnovelX,42,0.857142857
bLHm-Tx,bnovelX,43,0.825396825
bLHm-Tx,bnovelX,44,0.857142857
bLHm-Tx,bnovelX,45,0.841269841
bLHm-Tx,bnovelX,46,0.825396825
bLHm-Tx,bnovelX,47,0.873015873
bLHm-Tx,bnovelX,48,0.873015873
bLHm-Tx,bnovelX,49,0.825396825
bLHm-Tx,bnovelX,50,0.841269841
cLHm-Ty,cnovelY,1,0.793650794
cLHm-Ty,cnovelY,2,0.80952381
cLHm-Ty,cnovelY,3,0.793650794
cLHm-Ty,cnovelY,4,0.793650794
cLHm-Ty,cnovelY,5,0.793650794
cLHm-Ty,cnovelY,6,0.793650794
cLHm-Ty,cnovelY,7,0.793650794
cLHm-Ty,cnovelY,8,0.793650794
cLHm-Ty,cnovelY,9,0.793650794
cLHm-Ty,cnovelY,10,0.793650794
cLHm-Ty,cnovelY,11,0.793650794
cLHm-Ty,cnovelY,12,0.714285714
cLHm-Ty,cnovelY,13,0.777777778
cLHm-Ty,cnovelY,14,0.777777778
cLHm-Ty,cnovelY,15,0.793650794
cLHm-Ty,cnovelY,16,0.80952381
cLHm-Ty,cnovelY,17,0.793650794
cLHm-Ty,cnovelY,18,0.793650794
cLHm-Ty,cnovelY,19,0.80952381
cLHm-Ty,cnovelY,20,0.80952381
cLHm-Ty,cnovelY,21,0.793650794
cLHm-Ty,cnovelY,22,0.793650794
cLHm-Ty,cnovelY,23,0.793650794
cLHm-Ty,cnovelY,24,0.793650794
cLHm-Ty,cnovelY,25,0.793650794
cLHm-Ty,cnovelY,26,0.793650794
cLHm-Ty,cnovelY,27,0.793650794
cLHm-Ty,cnovelY,28,0.793650794
cLHm-Ty,cnovelY,29,0.793650794
cLHm-Ty,cnovelY,30,0.793650794
cLHm-Ty,cnovelY,31,0.793650794
cLHm-Ty,cnovelY,32,0.793650794
cLHm-Ty,cnovelY,33,0.793650794
cLHm-Ty,cnovelY,34,0.793650794
cLHm-Ty,cnovelY,35,0.793650794
cLHm-Ty,cnovelY,36,0.793650794
cLHm-Ty,cnovelY,37,0.793650794
cLHm-Ty,cnovelY,38,0.793650794
cLHm-Ty,cnovelY,39,0.714285714
cLHm-Ty,cnovelY,40,0.793650794
cLHm-Ty,cnovelY,41,0.793650794
cLHm-Ty,cnovelY,42,0.80952381
cLHm-Ty,cnovelY,43,0.793650794
cLHm-Ty,cnovelY,44,0.793650794
cLHm-Ty,cnovelY,45,0.793650794
cLHm-Ty,cnovelY,46,0.793650794
cLHm-Ty,cnovelY,47,0.793650794
cLHm-Ty,cnovelY,48,0.793650794
cLHm-Ty,cnovelY,49,0.714285714
cLHm-Ty,cnovelY,50,0.793650794
dLHm-Ix,bnovelX,1,0.825396825
dLHm-Ix,bnovelX,2,0.793650794
dLHm-Ix,bnovelX,3,0.841269841
dLHm-Ix,bnovelX,4,0.825396825
dLHm-Ix,bnovelX,5,0.80952381
dLHm-Ix,bnovelX,6,0.825396825
dLHm-Ix,bnovelX,7,0.841269841
dLHm-Ix,bnovelX,8,0.825396825
dLHm-Ix,bnovelX,9,0.746031746
dLHm-Ix,bnovelX,10,0.841269841
dLHm-Ix,bnovelX,11,0.80952381
dLHm-Ix,bnovelX,12,0.793650794
dLHm-Ix,bnovelX,13,0.80952381
dLHm-Ix,bnovelX,14,0.793650794
dLHm-Ix,bnovelX,15,0.825396825
dLHm-Ix,bnovelX,16,0.80952381
dLHm-Ix,bnovelX,17,0.793650794
dLHm-Ix,bnovelX,18,0.793650794
dLHm-Ix,bnovelX,19,0.825396825
dLHm-Ix,bnovelX,20,0.841269841
dLHm-Ix,bnovelX,21,0.841269841
dLHm-Ix,bnovelX,22,0.825396825
dLHm-Ix,bnovelX,23,0.825396825
dLHm-Ix,bnovelX,24,0.80952381
dLHm-Ix,bnovelX,25,0.793650794
dLHm-Ix,bnovelX,26,0.80952381
dLHm-Ix,bnovelX,27,0.825396825
dLHm-Ix,bnovelX,28,0.841269841
dLHm-Ix,bnovelX,29,0.73015873
dLHm-Ix,bnovelX,30,0.841269841
dLHm-Ix,bnovelX,31,0.793650794
dLHm-Ix,bnovelX,32,0.825396825
dLHm-Ix,bnovelX,33,0.80952381
dLHm-Ix,bnovelX,34,0.80952381
dLHm-Ix,bnovelX,35,0.80952381
dLHm-Ix,bnovelX,36,0.825396825
dLHm-Ix,bnovelX,37,0.793650794
dLHm-Ix,bnovelX,38,0.841269841
dLHm-Ix,bnovelX,39,0.777777778
dLHm-Ix,bnovelX,40,0.80952381
dLHm-Ix,bnovelX,41,0.793650794
dLHm-Ix,bnovelX,42,0.793650794
dLHm-Ix,bnovelX,43,0.825396825
dLHm-Ix,bnovelX,44,0.793650794
dLHm-Ix,bnovelX,45,0.825396825
dLHm-Ix,bnovelX,46,0.825396825
dLHm-Ix,bnovelX,47,0.825396825
dLHm-Ix,bnovelX,48,0.80952381
dLHm-Ix,bnovelX,49,0.825396825
dLHm-Ix,bnovelX,50,0.80952381
eLHm-Iy,cnovelY,1,0.80952381
eLHm-Iy,cnovelY,2,0.80952381
eLHm-Iy,cnovelY,3,0.793650794
eLHm-Iy,cnovelY,4,0.793650794
eLHm-Iy,cnovelY,5,0.825396825
eLHm-Iy,cnovelY,6,0.793650794
eLHm-Iy,cnovelY,7,0.825396825
eLHm-Iy,cnovelY,8,0.793650794
eLHm-Iy,cnovelY,9,0.793650794
eLHm-Iy,cnovelY,10,0.825396825
eLHm-Iy,cnovelY,11,0.841269841
eLHm-Iy,cnovelY,12,0.714285714
eLHm-Iy,cnovelY,13,0.634920635
eLHm-Iy,cnovelY,14,0.825396825
eLHm-Iy,cnovelY,15,0.825396825
eLHm-Iy,cnovelY,16,0.793650794
eLHm-Iy,cnovelY,17,0.793650794
eLHm-Iy,cnovelY,18,0.793650794
eLHm-Iy,cnovelY,19,0.80952381
eLHm-Iy,cnovelY,20,0.80952381
eLHm-Iy,cnovelY,21,0.825396825
eLHm-Iy,cnovelY,22,0.80952381
eLHm-Iy,cnovelY,23,0.714285714
eLHm-Iy,cnovelY,24,0.793650794
eLHm-Iy,cnovelY,25,0.825396825
eLHm-Iy,cnovelY,26,0.80952381
eLHm-Iy,cnovelY,27,0.793650794
eLHm-Iy,cnovelY,28,0.793650794
eLHm-Iy,cnovelY,29,0.793650794
eLHm-Iy,cnovelY,30,0.80952381
eLHm-Iy,cnovelY,31,0.793650794
eLHm-Iy,cnovelY,32,0.793650794
eLHm-Iy,cnovelY,33,0.80952381
eLHm-Iy,cnovelY,34,0.793650794
eLHm-Iy,cnovelY,35,0.793650794
eLHm-Iy,cnovelY,36,0.80952381
eLHm-Iy,cnovelY,37,0.793650794
eLHm-Iy,cnovelY,38,0.793650794
eLHm-Iy,cnovelY,39,0.80952381
eLHm-Iy,cnovelY,40,0.793650794
eLHm-Iy,cnovelY,41,0.793650794
eLHm-Iy,cnovelY,42,0.793650794
eLHm-Iy,cnovelY,43,0.793650794
eLHm-Iy,cnovelY,44,0.80952381
eLHm-Iy,cnovelY,45,0.793650794
eLHm-Iy,cnovelY,46,0.825396825
eLHm-Iy,cnovelY,47,0.80952381
eLHm-Iy,cnovelY,48,0.80952381
eLHm-Iy,cnovelY,49,0.793650794
eLHm-Iy,cnovelY,50,0.80952381
fInnisfail,awt,1,0.793650794
fInnisfail,awt,2,0.793650794
fInnisfail,awt,3,0.761904762
fInnisfail,awt,4,0.793650794
fInnisfail,awt,5,0.793650794
fInnisfail,awt,6,0.746031746
fInnisfail,awt,7,0.746031746
fInnisfail,awt,8,0.761904762
fInnisfail,awt,9,0.746031746
fInnisfail,awt,10,0.761904762
fInnisfail,awt,11,0.761904762
fInnisfail,awt,12,0.777777778
fInnisfail,awt,13,0.793650794
fInnisfail,awt,14,0.793650794
fInnisfail,awt,15,0.793650794
fInnisfail,awt,16,0.746031746
fInnisfail,awt,17,0.793650794
fInnisfail,awt,18,0.761904762
fInnisfail,awt,19,0.761904762
fInnisfail,awt,20,0.746031746
fInnisfail,awt,21,0.777777778
fInnisfail,awt,22,0.793650794
fInnisfail,awt,23,0.761904762
fInnisfail,awt,24,0.761904762
fInnisfail,awt,25,0.761904762
fInnisfail,awt,26,0.746031746
fInnisfail,awt,27,0.777777778
fInnisfail,awt,28,0.793650794
fInnisfail,awt,29,0.793650794
fInnisfail,awt,30,0.793650794
fInnisfail,awt,31,0.80952381
fInnisfail,awt,32,0.80952381
fInnisfail,awt,33,0.793650794
fInnisfail,awt,34,0.793650794
fInnisfail,awt,35,0.777777778
fInnisfail,awt,36,0.761904762
fInnisfail,awt,37,0.793650794
fInnisfail,awt,38,0.761904762
fInnisfail,awt,39,0.714285714
fInnisfail,awt,40,0.80952381
fInnisfail,awt,41,0.793650794
fInnisfail,awt,42,0.793650794
fInnisfail,awt,43,0.761904762
fInnisfail,awt,44,0.793650794
fInnisfail,awt,45,0.746031746
fInnisfail,awt,46,0.793650794
fInnisfail,awt,47,0.80952381
fInnisfail,awt,48,0.793650794
fInnisfail,awt,49,0.793650794
fInnisfail,awt,50,0.793650794
gInn-Lx,bnovelX,1,0.825396825
gInn-Lx,bnovelX,2,0.825396825
gInn-Lx,bnovelX,3,0.793650794
gInn-Lx,bnovelX,4,0.793650794
gInn-Lx,bnovelX,5,0.793650794
gInn-Lx,bnovelX,6,0.825396825
gInn-Lx,bnovelX,7,0.793650794
gInn-Lx,bnovelX,8,0.825396825
gInn-Lx,bnovelX,9,0.793650794
gInn-Lx,bnovelX,10,0.793650794
gInn-Lx,bnovelX,11,0.825396825
gInn-Lx,bnovelX,12,0.793650794
gInn-Lx,bnovelX,13,0.80952381
gInn-Lx,bnovelX,14,0.80952381
gInn-Lx,bnovelX,15,0.825396825
gInn-Lx,bnovelX,16,0.80952381
gInn-Lx,bnovelX,17,0.793650794
gInn-Lx,bnovelX,18,0.793650794
gInn-Lx,bnovelX,19,0.793650794
gInn-Lx,bnovelX,20,0.793650794
gInn-Lx,bnovelX,21,0.825396825
gInn-Lx,bnovelX,22,0.825396825
gInn-Lx,bnovelX,23,0.825396825
gInn-Lx,bnovelX,24,0.793650794
gInn-Lx,bnovelX,25,0.793650794
gInn-Lx,bnovelX,26,0.80952381
gInn-Lx,bnovelX,27,0.793650794
gInn-Lx,bnovelX,28,0.793650794
gInn-Lx,bnovelX,29,0.777777778
gInn-Lx,bnovelX,30,0.793650794
gInn-Lx,bnovelX,31,0.793650794
gInn-Lx,bnovelX,32,0.825396825
gInn-Lx,bnovelX,33,0.793650794
gInn-Lx,bnovelX,34,0.825396825
gInn-Lx,bnovelX,35,0.793650794
gInn-Lx,bnovelX,36,0.793650794
gInn-Lx,bnovelX,37,0.793650794
gInn-Lx,bnovelX,38,0.777777778
gInn-Lx,bnovelX,39,0.80952381
gInn-Lx,bnovelX,40,0.841269841
gInn-Lx,bnovelX,41,0.80952381
gInn-Lx,bnovelX,42,0.825396825
gInn-Lx,bnovelX,43,0.793650794
gInn-Lx,bnovelX,44,0.825396825
gInn-Lx,bnovelX,45,0.825396825
gInn-Lx,bnovelX,46,0.793650794
gInn-Lx,bnovelX,47,0.80952381
gInn-Lx,bnovelX,48,0.825396825
gInn-Lx,bnovelX,49,0.793650794
gInn-Lx,bnovelX,50,0.793650794
hInn-Ly,cnovelY,1,0.746031746
hInn-Ly,cnovelY,2,0.746031746
hInn-Ly,cnovelY,3,0.793650794
hInn-Ly,cnovelY,4,0.793650794
hInn-Ly,cnovelY,5,0.793650794
hInn-Ly,cnovelY,6,0.793650794
hInn-Ly,cnovelY,7,0.793650794
hInn-Ly,cnovelY,8,0.746031746
hInn-Ly,cnovelY,9,0.825396825
hInn-Ly,cnovelY,10,0.793650794
hInn-Ly,cnovelY,11,0.793650794
hInn-Ly,cnovelY,12,0.793650794
hInn-Ly,cnovelY,13,0.793650794
hInn-Ly,cnovelY,14,0.793650794
hInn-Ly,cnovelY,15,0.746031746
hInn-Ly,cnovelY,16,0.793650794
hInn-Ly,cnovelY,17,0.746031746
hInn-Ly,cnovelY,18,0.793650794
hInn-Ly,cnovelY,19,0.793650794
hInn-Ly,cnovelY,20,0.793650794
hInn-Ly,cnovelY,21,0.825396825
hInn-Ly,cnovelY,22,0.793650794
hInn-Ly,cnovelY,23,0.634920635
hInn-Ly,cnovelY,24,0.793650794
hInn-Ly,cnovelY,25,0.825396825
hInn-Ly,cnovelY,26,0.793650794
hInn-Ly,cnovelY,27,0.793650794
hInn-Ly,cnovelY,28,0.793650794
hInn-Ly,cnovelY,29,0.793650794
hInn-Ly,cnovelY,30,0.793650794
hInn-Ly,cnovelY,31,0.714285714
hInn-Ly,cnovelY,32,0.793650794
hInn-Ly,cnovelY,33,0.793650794
hInn-Ly,cnovelY,34,0.793650794
