population,treatment,block,vial,totaloffspring
aLHm,awt,A,1,510
aLHm,awt,A,2,513
aLHm,awt,A,3,474
aLHm,awt,A,4,364
aLHm,awt,A,5,460
aLHm,awt,A,6,474
aLHm,awt,A,7,466
aLHm,awt,B,1,525
aLHm,awt,B,2,514
aLHm,awt,B,3,562
aLHm,awt,B,4,413
aLHm,awt,B,5,345
aLHm,awt,B,6,567
aLHm,awt,B,7,490
bLHm-Tx,bnovelX,A,1,406
bLHm-Tx,bnovelX,A,2,436
bLHm-Tx,bnovelX,A,3,482
bLHm-Tx,bnovelX,A,4,411
bLHm-Tx,bnovelX,A,5,464
bLHm-Tx,bnovelX,A,6,504
bLHm-Tx,bnovelX,A,7,485
bLHm-Tx,bnovelX,B,1,445
bLHm-Tx,bnovelX,B,2,370
bLHm-Tx,bnovelX,B,3,464
bLHm-Tx,bnovelX,B,4,364
bLHm-Tx,bnovelX,B,5,404
bLHm-Tx,bnovelX,B,6,499
bLHm-Tx,bnovelX,B,7,429
cLHm-Ty,cnovelY,A,1,546
cLHm-Ty,cnovelY,A,2,486
cLHm-Ty,cnovelY,A,3,537
cLHm-Ty,cnovelY,A,4,551
cLHm-Ty,cnovelY,A,5,515
cLHm-Ty,cnovelY,A,6,489
cLHm-Ty,cnovelY,A,7,NA
cLHm-Ty,cnovelY,B,1,464
cLHm-Ty,cnovelY,B,2,433
cLHm-Ty,cnovelY,B,3,517
cLHm-Ty,cnovelY,B,4,396
cLHm-Ty,cnovelY,B,5,402
cLHm-Ty,cnovelY,B,6,379
cLHm-Ty,cnovelY,B,7,422
dLHm-Ix,bnovelX,A,1,404
dLHm-Ix,bnovelX,A,2,558
dLHm-Ix,bnovelX,A,3,369
dLHm-Ix,bnovelX,A,4,394
dLHm-Ix,bnovelX,A,5,407
dLHm-Ix,bnovelX,A,6,431
dLHm-Ix,bnovelX,A,7,448
dLHm-Ix,bnovelX,B,1,472
dLHm-Ix,bnovelX,B,2,495
dLHm-Ix,bnovelX,B,3,528
dLHm-Ix,bnovelX,B,4,462
dLHm-Ix,bnovelX,B,5,452
dLHm-Ix,bnovelX,B,6,401
dLHm-Ix,bnovelX,B,7,394
eLHm-Iy,cnovelY,A,1,455
eLHm-Iy,cnovelY,A,2,394
eLHm-Iy,cnovelY,A,3,477
eLHm-Iy,cnovelY,A,4,443
eLHm-Iy,cnovelY,A,5,424
eLHm-Iy,cnovelY,A,6,434
eLHm-Iy,cnovelY,A,7,514
eLHm-Iy,cnovelY,B,1,560
eLHm-Iy,cnovelY,B,2,390
eLHm-Iy,cnovelY,B,3,278
eLHm-Iy,cnovelY,B,4,540
eLHm-Iy,cnovelY,B,5,494
eLHm-Iy,cnovelY,B,6,490
eLHm-Iy,cnovelY,B,7,440
fInnisfail,awt,A,1,430
fInnisfail,awt,A,2,425
fInnisfail,awt,A,3,495
fInnisfail,awt,A,4,449
fInnisfail,awt,A,5,424
fInnisfail,awt,A,6,416
fInnisfail,awt,A,7,474
fInnisfail,awt,B,1,518
fInnisfail,awt,B,2,716
fInnisfail,awt,B,3,419
fInnisfail,awt,B,4,447
fInnisfail,awt,B,5,544
fInnisfail,awt,B,6,462
fInnisfail,awt,B,7,514
gInn-Lx,bnovelX,A,1,481
gInn-Lx,bnovelX,A,2,491
gInn-Lx,bnovelX,A,3,486
gInn-Lx,bnovelX,A,4,513
gInn-Lx,bnovelX,A,5,458
gInn-Lx,bnovelX,A,6,503
gInn-Lx,bnovelX,A,7,439
gInn-Lx,bnovelX,B,1,573
gInn-Lx,bnovelX,B,2,409
gInn-Lx,bnovelX,B,3,402
gInn-Lx,bnovelX,B,4,458
gInn-Lx,bnovelX,B,5,375
gInn-Lx,bnovelX,B,6,326
gInn-Lx,bnovelX,B,7,482
hInn-Ly,cnovelY,A,1,443
hInn-Ly,cnovelY,A,2,552
hInn-Ly,cnovelY,A,3,557
hInn-Ly,cnovelY,A,4,254
hInn-Ly,cnovelY,A,5,400
hInn-Ly,cnovelY,A,6,651
hInn-Ly,cnovelY,A,7,568
hInn-Ly,cnovelY,B,1,571
hInn-Ly,cnovelY,B,2,465
hInn-Ly,cnovelY,B,3,506
hInn-Ly,cnovelY,B,4,434
hInn-Ly,cnovelY,B,5,498
hInn-Ly,cnovelY,B,6,368
hInn-Ly,cnovelY,B,7,346
iInn-Ox,bnovelX,A,1,529
iInn-Ox,bnovelX,A,2,388
iInn-Ox,bnovelX,A,3,424
iInn-Ox,bnovelX,A,4,518
iInn-Ox,bnovelX,A,5,535
iInn-Ox,bnovelX,A,6,542
iInn-Ox,bnovelX,A,7,572
iInn-Ox,bnovelX,B,1,427
iInn-Ox,bnovelX,B,2,432
iInn-Ox,bnovelX,B,3,425
iInn-Ox,bnovelX,B,4,483
iInn-Ox,bnovelX,B,5,441
iInn-Ox,bnovelX,B,6,469
iInn-Ox,bnovelX,B,7,414
jInn-Oy,cnovelY,A,1,432
jInn-Oy,cnovelY,A,2,369
jInn-Oy,cnovelY,A,3,369
jInn-Oy,cnovelY,A,4,444
jInn-Oy,cnovelY,A,5,375
jInn-Oy,cnovelY,A,6,352
jInn-Oy,cnovelY,A,7,359
jInn-Oy,cnovelY,B,1,449
jInn-Oy,cnovelY,B,2,403
jInn-Oy,cnovelY,B,3,619
jInn-Oy,cnovelY,B,4,674
jInn-Oy,cnovelY,B,5,419
jInn-Oy,cnovelY,B,6,407
jInn-Oy,cnovelY,B,7,459
kOdder,awt,A,1,512
kOdder,awt,A,2,575
kOdder,awt,A,3,559
kOdder,awt,A,4,347
kOdder,awt,A,5,428
kOdder,awt,A,6,569
kOdder,awt,A,7,540
kOdder,awt,B,1,432
kOdder,awt,B,2,585
kOdder,awt,B,3,485
kOdder,awt,B,4,484
kOdder,awt,B,5,484
kOdder,awt,B,6,336
kOdder,awt,B,7,302
lOdd-Ix,bnovelX,A,1,492
lOdd-Ix,bnovelX,A,2,411
lOdd-Ix,bnovelX,A,3,569
lOdd-Ix,bnovelX,A,4,541
lOdd-Ix,bnovelX,A,5,392
lOdd-Ix,bnovelX,A,6,417
lOdd-Ix,bnovelX,A,7,457
lOdd-Ix,bnovelX,B,1,543
lOdd-Ix,bnovelX,B,2,385
lOdd-Ix,bnovelX,B,3,432
lOdd-Ix,bnovelX,B,4,630
lOdd-Ix,bnovelX,B,5,428
lOdd-Ix,bnovelX,B,6,422
lOdd-Ix,bnovelX,B,7,424
mOdd-Iy,cnovelY,A,1,519
mOdd-Iy,cnovelY,A,2,445
mOdd-Iy,cnovelY,A,3,515
mOdd-Iy,cnovelY,A,4,569
mOdd-Iy,cnovelY,A,5,550
mOdd-Iy,cnovelY,A,6,486
mOdd-Iy,cnovelY,A,7,418
mOdd-Iy,cnovelY,B,1,419
mOdd-Iy,cnovelY,B,2,461
mOdd-Iy,cnovelY,B,3,451
mOdd-Iy,cnovelY,B,4,547
mOdd-Iy,cnovelY,B,5,544
mOdd-Iy,cnovelY,B,6,490
mOdd-Iy,cnovelY,B,7,529
nOdd-Dx,bnovelX,A,1,483
nOdd-Dx,bnovelX,A,2,388
nOdd-Dx,bnovelX,A,3,460
nOdd-Dx,bnovelX,A,4,475
nOdd-Dx,bnovelX,A,5,529
nOdd-Dx,bnovelX,A,6,438
nOdd-Dx,bnovelX,A,7,427
nOdd-Dx,bnovelX,B,1,519
nOdd-Dx,bnovelX,B,2,504
nOdd-Dx,bnovelX,B,3,389
nOdd-Dx,bnovelX,B,4,436
nOdd-Dx,bnovelX,B,5,604
nOdd-Dx,bnovelX,B,6,103
nOdd-Dx,bnovelX,B,7,427
oOdd-Dy,cnovelY,A,1,507
oOdd-Dy,cnovelY,A,2,535
oOdd-Dy,cnovelY,A,3,558
oOdd-Dy,cnovelY,A,4,606
oOdd-Dy,cnovelY,A,5,493
oOdd-Dy,cnovelY,A,6,559
oOdd-Dy,cnovelY,A,7,493
oOdd-Dy,cnovelY,B,1,494
oOdd-Dy,cnovelY,B,2,394
oOdd-Dy,cnovelY,B,3,433
oOdd-Dy,cnovelY,B,4,408
oOdd-Dy,cnovelY,B,5,295
oOdd-Dy,cnovelY,B,6,462
oOdd-Dy,cnovelY,B,7,471
pDahomey,awt,A,1,573
pDahomey,awt,A,2,482
pDahomey,awt,A,3,539
pDahomey,awt,A,4,548
pDahomey,awt,A,5,433
pDahomey,awt,A,6,306
pDahomey,awt,A,7,488
pDahomey,awt,B,1,651
pDahomey,awt,B,2,483
pDahomey,awt,B,3,380
pDahomey,awt,B,4,463
pDahomey,awt,B,5,523
pDahomey,awt,B,6,526
pDahomey,awt,B,7,645
qDah-Ox,bnovelX,A,1,446
qDah-Ox,bnovelX,A,2,383
qDah-Ox,bnovelX,A,3,312
qDah-Ox,bnovelX,A,4,419
qDah-Ox,bnovelX,A,5,334
qDah-Ox,bnovelX,A,6,383
qDah-Ox,bnovelX,A,7,415
qDah-Ox,bnovelX,B,1,404
qDah-Ox,bnovelX,B,2,520
qDah-Ox,bnovelX,B,3,465
qDah-Ox,bnovelX,B,4,514
qDah-Ox,bnovelX,B,5,374
qDah-Ox,bnovelX,B,6,413
qDah-Ox,bnovelX,B,7,453
rDah-Oy,cnovelY,A,1,512
rDah-Oy,cnovelY,A,2,421
rDah-Oy,cnovelY,A,3,321
rDah-Oy,cnovelY,A,4,451
rDah-Oy,cnovelY,A,5,447
rDah-Oy,cnovelY,A,6,327
rDah-Oy,cnovelY,A,7,472
rDah-Oy,cnovelY,B,1,425
rDah-Oy,cnovelY,B,2,471
rDah-Oy,cnovelY,B,3,506
rDah-Oy,cnovelY,B,4,413
rDah-Oy,cnovelY,B,5,322
rDah-Oy,cnovelY,B,6,489
rDah-Oy,cnovelY,B,7,484
sDah-Tx,bnovelX,A,1,481
sDah-Tx,bnovelX,A,2,396
sDah-Tx,bnovelX,A,3,289
sDah-Tx,bnovelX,A,4,429
sDah-Tx,bnovelX,A,5,412
sDah-Tx,bnovelX,A,6,432
sDah-Tx,bnovelX,A,7,323
sDah-Tx,bnovelX,B,1,587
sDah-Tx,bnovelX,B,2,433
sDah-Tx,bnovelX,B,3,536
sDah-Tx,bnovelX,B,4,547
sDah-Tx,bnovelX,B,5,487
sDah-Tx,bnovelX,B,6,478
sDah-Tx,bnovelX,B,7,538
tDah-Ty,cnovelY,A,1,561
tDah-Ty,cnovelY,A,2,472
tDah-Ty,cnovelY,A,3,475
tDah-Ty,cnovelY,A,4,540
tDah-Ty,cnovelY,A,5,564
tDah-Ty,cnovelY,A,6,592
tDah-Ty,cnovelY,A,7,517
tDah-Ty,cnovelY,B,1,417
tDah-Ty,cnovelY,B,2,458
tDah-Ty,cnovelY,B,3,336
tDah-Ty,cnovelY,B,4,398
tDah-Ty,cnovelY,B,5,442
tDah-Ty,cnovelY,B,6,324
tDah-Ty,cnovelY,B,7,504
uTasmania,awt,A,1,587
uTasmania,awt,A,2,510
uTasmania,awt,A,3,267
uTasmania,awt,A,4,365
uTasmania,awt,A,5,499
uTasmania,awt,A,6,471
uTasmania,awt,A,7,511
uTasmania,awt,B,1,560
uTasmania,awt,B,2,390
uTasmania,awt,B,3,278
uTasmania,awt,B,4,540
uTasmania,awt,B,5,494
uTasmania,awt,B,6,490
uTasmania,awt,B,7,440
vTas-Dx,bnovelX,A,1,411
vTas-Dx,bnovelX,A,2,370
vTas-Dx,bnovelX,A,3,500
vTas-Dx,bnovelX,A,4,361
vTas-Dx,bnovelX,A,5,360
vTas-Dx,bnovelX,A,6,450
vTas-Dx,bnovelX,A,7,418
vTas-Dx,bnovelX,B,1,513
vTas-Dx,bnovelX,B,2,445
vTas-Dx,bnovelX,B,3,416
vTas-Dx,bnovelX,B,4,690
vTas-Dx,bnovelX,B,5,298
vTas-Dx,bnovelX,B,6,450
vTas-Dx,bnovelX,B,7,539
wTas-Dy,cnovelY,A,1,486
wTas-Dy,cnovelY,A,2,377
wTas-Dy,cnovelY,A,3,363
