population,deltaProp_eclose
aLHmX_Inn,-0.020833333
aLHmX_Inn,-0.05
aLHmX_Inn,-0.047171717
aLHmX_Inn,-0.03125
aLHmX_Inn,-0.041136364
aLHmX_Inn,-0.01
aLHmX_Inn,-0.035
aLHmX_Inn,-0.033055556
aLHmX_Inn,-0.012222222
aLHmX_Inn,0.011272727
aLHmX_Inn,-0.004444444
aLHmX_Inn,-0.047979798
aLHmX_Inn,-0.025
aLHmX_Inn,0.00625
aLHmX_Inn,-0.025555556
aLHmX_Inn,-0.045757576
aLHmX_Inn,-0.031111111
aLHmX_Inn,-0.045568182
aLHmX_Inn,-0.047222222
aLHmX_Inn,-0.022727273
aLHmX_Inn,0.023766234
aLHmX_Inn,-0.034833333
aLHmX_Inn,-0.055
aLHmX_Inn,-0.056363636
aLHmX_Inn,-0.015454545
aLHmX_Inn,0.000795455
aLHmX_Inn,-0.017070707
aLHmX_Inn,-0.013246753
aLHmX_Inn,-0.036909091
aLHmX_Inn,-0.033333333
aLHmX_Inn,-0.055
aLHmX_Inn,-0.056
aLHmX_Inn,-0.087454545
aLHmX_Inn,-0.017171717
aLHmX_Inn,-0.033409091
aLHmX_Inn,-0.014040404
aLHmX_Inn,-0.0145
aLHmX_Inn,-0.036969697
aLHmX_Inn,0.017
aLHmX_Inn,-0.061919192
aLHmX_Inn,-0.040555556
aLHmX_Inn,-0.073833333
aLHmX_Inn,-0.028095238
aLHmX_Inn,0.000119048
aLHmX_Inn,-0.059111111
aLHmX_Inn,-0.066666667
aLHmX_Inn,-0.038409091
aLHmX_Inn,-0.031666667
aLHmX_Inn,-0.042272727
aLHmX_Inn,0.026477273
aLHmX_Inn,-0.035416667
aLHmX_Inn,-0.040454545
aLHmX_Inn,-0.063636364
aLHmX_Inn,-0.021190476
aLHmX_Inn,-0.056111111
aLHmX_Inn,-0.030833333
aLHmX_Inn,-0.030833333
aLHmX_Inn,-0.048777778
aLHmX_Inn,-0.032222222
aLHmX_Inn,-0.003506494
aLHmX_Inn,-0.017444444
aLHmX_Inn,-0.001168831
aLHmX_Inn,0.008333333
aLHmX_Inn,-0.010681818
aLHmX_Inn,-0.081363636
aLHmX_Inn,-0.037272727
