rep_population,population,treatment,block,vial,eclosed
RP1,aLHm,awt,B,1,69
RP1,aLHm,awt,B,2,78
RP1,aLHm,awt,B,3,73
RP1,aLHm,awt,B,4,67
RP1,aLHm,awt,B,5,83
RP1,aLHm,awt,B,6,83
RP2,aLHm,awt,A,1,84
RP2,aLHm,awt,A,2,82
RP2,aLHm,awt,A,3,86
RP2,aLHm,awt,A,4,85
RP2,aLHm,awt,A,5,95
RP2,aLHm,awt,A,6,NA
RP1,bInnisfail,awt,A,1,90
RP1,bInnisfail,awt,A,2,81
RP1,bInnisfail,awt,A,3,NA
RP1,bInnisfail,awt,A,4,92
RP1,bInnisfail,awt,A,5,NA
RP1,bInnisfail,awt,C,1,96
RP2,bInnisfail,awt,D,1,97
RP2,bInnisfail,awt,D,2,82
RP2,bInnisfail,awt,D,3,94
RP2,bInnisfail,awt,D,4,98
RP1,cInn-Lx,bnovelX,B,1,80
RP1,cInn-Lx,bnovelX,B,2,NA
RP1,cInn-Lx,bnovelX,B,3,90
RP1,cInn-Lx,bnovelX,B,4,84
RP1,cInn-Lx,bnovelX,B,5,87
RP1,cInn-Lx,bnovelX,B,6,87
RP2,cInn-Lx,bnovelX,A,1,85
RP2,cInn-Lx,bnovelX,A,2,95
RP2,cInn-Lx,bnovelX,A,3,99
RP2,cInn-Lx,bnovelX,A,4,89
RP2,cInn-Lx,bnovelX,A,5,87
RP2,cInn-Lx,bnovelX,A,6,93
RP1,dInn-Ly,cnovelY,B,1,79
RP1,dInn-Ly,cnovelY,B,2,82
RP1,dInn-Ly,cnovelY,B,3,91
RP1,dInn-Ly,cnovelY,D,1,89
RP1,dInn-Ly,cnovelY,D,2,91
RP1,dInn-Ly,cnovelY,D,3,95
RP2,dInn-Ly,cnovelY,A,1,91
RP2,dInn-Ly,cnovelY,A,2,83
RP2,dInn-Ly,cnovelY,A,3,84
RP2,dInn-Ly,cnovelY,A,4,NA
RP2,dInn-Ly,cnovelY,A,5,98
RP2,dInn-Ly,cnovelY,A,6,96
RP1,eInn-Ox,bnovelX,A,1,82
RP1,eInn-Ox,bnovelX,A,2,89
RP1,eInn-Ox,bnovelX,C,1,91
RP1,eInn-Ox,bnovelX,C,2,94
RP1,eInn-Ox,bnovelX,C,3,96
RP1,eInn-Ox,bnovelX,C,4,91
RP2,eInn-Ox,bnovelX,A,1,85
RP2,eInn-Ox,bnovelX,A,2,93
RP2,eInn-Ox,bnovelX,A,3,82
RP2,eInn-Ox,bnovelX,A,4,89
RP2,eInn-Ox,bnovelX,A,5,98
RP2,eInn-Ox,bnovelX,A,6,95
RP1,fInn-Oy,cnovelY,B,1,93
RP1,fInn-Oy,cnovelY,B,2,88
RP1,fInn-Oy,cnovelY,B,3,91
RP1,fInn-Oy,cnovelY,B,4,89
RP1,fInn-Oy,cnovelY,B,5,86
RP1,fInn-Oy,cnovelY,B,6,90
RP2,fInn-Oy,cnovelY,A,1,90
RP2,fInn-Oy,cnovelY,A,2,83
RP2,fInn-Oy,cnovelY,A,3,99
RP2,fInn-Oy,cnovelY,A,4,91
RP2,fInn-Oy,cnovelY,A,5,96
RP2,fInn-Oy,cnovelY,A,6,75
RP1,gOdder,awt,B,1,84
RP1,gOdder,awt,B,2,NA
RP1,gOdder,awt,B,3,76
RP1,gOdder,awt,B,4,81
RP1,gOdder,awt,B,5,83
RP1,gOdder,awt,B,6,87
RP2,gOdder,awt,A,1,90
RP2,gOdder,awt,A,2,84
RP2,gOdder,awt,A,3,96
RP2,gOdder,awt,A,4,99
RP2,gOdder,awt,A,5,89
RP2,gOdder,awt,A,6,91
RP1,hOdd-Ix,bnovelX,A,1,85
RP1,hOdd-Ix,bnovelX,A,2,99
RP1,hOdd-Ix,bnovelX,A,3,93
RP1,hOdd-Ix,bnovelX,A,4,97
RP1,hOdd-Ix,bnovelX,A,5,94
RP1,hOdd-Ix,bnovelX,A,6,NA
RP2,hOdd-Ix,bnovelX,C,1,97
RP2,hOdd-Ix,bnovelX,C,2,93
RP2,hOdd-Ix,bnovelX,C,3,88
RP2,hOdd-Ix,bnovelX,C,4,83
RP2,hOdd-Ix,bnovelX,C,5,NA
RP2,hOdd-Ix,bnovelX,C,6,97
RP1,iOdd-Iy,cnovelY,A,1,86
RP1,iOdd-Iy,cnovelY,A,2,88
RP1,iOdd-Iy,cnovelY,A,3,NA
RP1,iOdd-Iy,cnovelY,A,4,97
RP1,iOdd-Iy,cnovelY,A,5,98
RP1,iOdd-Iy,cnovelY,A,6,90
RP2,iOdd-Iy,cnovelY,B,1,91
RP2,iOdd-Iy,cnovelY,B,2,90
RP2,iOdd-Iy,cnovelY,B,3,83
RP2,iOdd-Iy,cnovelY,B,4,90
RP2,iOdd-Iy,cnovelY,B,5,87
RP2,iOdd-Iy,cnovelY,B,6,90
RP1,jOdd-Dx,bnovelX,A,1,94
RP1,jOdd-Dx,bnovelX,A,2,79
RP1,jOdd-Dx,bnovelX,A,3,89
RP1,jOdd-Dx,bnovelX,A,4,95
RP1,jOdd-Dx,bnovelX,A,5,90
RP1,jOdd-Dx,bnovelX,A,6,93
RP2,jOdd-Dx,bnovelX,B,1,84
RP2,jOdd-Dx,bnovelX,B,2,80
RP2,jOdd-Dx,bnovelX,B,3,73
RP2,jOdd-Dx,bnovelX,B,4,72
RP2,jOdd-Dx,bnovelX,B,5,90
RP2,jOdd-Dx,bnovelX,B,6,75
RP1,kOdd-Dy,cnovelY,A,1,88
RP1,kOdd-Dy,cnovelY,A,2,92
RP1,kOdd-Dy,cnovelY,A,3,91
RP1,kOdd-Dy,cnovelY,A,4,NA
RP1,kOdd-Dy,cnovelY,A,5,NA
RP1,kOdd-Dy,cnovelY,A,6,92
RP2,kOdd-Dy,cnovelY,B,1,88
RP2,kOdd-Dy,cnovelY,B,2,95
RP2,kOdd-Dy,cnovelY,B,3,90
RP2,kOdd-Dy,cnovelY,B,4,89
RP2,kOdd-Dy,cnovelY,B,5,92
RP2,kOdd-Dy,cnovelY,B,6,90
RP1,lDahomey,awt,A,1,89
RP1,lDahomey,awt,A,2,NA
RP1,lDahomey,awt,A,3,91
RP1,lDahomey,awt,A,4,99
RP1,lDahomey,awt,A,5,NA
RP1,lDahomey,awt,A,6,NA
RP2,lDahomey,awt,B,1,75
RP2,lDahomey,awt,B,2,70
RP2,lDahomey,awt,B,3,82
RP2,lDahomey,awt,B,4,73
RP2,lDahomey,awt,B,5,68
RP2,lDahomey,awt,B,6,67
