rep_population,population,treatment,block,vial,red,total
RP1,aLHm,awt,A,1,82,164
RP1,aLHm,awt,A,2,46,123
RP1,aLHm,awt,A,3,72,171
RP1,aLHm,awt,B,1,46,164
RP1,aLHm,awt,B,2,77,206
RP1,aLHm,awt,B,3,79,224
RP2,aLHm,awt,A,1,55,190
RP2,aLHm,awt,A,2,39,93
RP2,aLHm,awt,A,3,124,222
RP2,aLHm,awt,B,1,89,146
RP2,aLHm,awt,B,2,83,130
RP2,aLHm,awt,B,3,30,100
RP1,bInnisfail,awt,A,1,41,180
RP1,bInnisfail,awt,A,2,89,177
RP1,bInnisfail,awt,A,3,54,140
RP1,bInnisfail,awt,B,1,94,407
RP1,bInnisfail,awt,B,2,110,311
RP1,bInnisfail,awt,B,3,62,245
RP2,bInnisfail,awt,A,1,73,165
RP2,bInnisfail,awt,A,2,51,154
RP2,bInnisfail,awt,A,3,109,191
RP2,bInnisfail,awt,B,1,55,179
RP2,bInnisfail,awt,B,2,73,261
RP2,bInnisfail,awt,B,3,35,210
RP1,cInn-Lx,bnovelX,A,1,109,235
RP1,cInn-Lx,bnovelX,A,2,75,189
RP1,cInn-Lx,bnovelX,A,3,123,230
RP1,cInn-Lx,bnovelX,B,1,68,182
RP1,cInn-Lx,bnovelX,B,2,56,199
RP1,cInn-Lx,bnovelX,B,3,119,289
RP2,cInn-Lx,bnovelX,A,1,104,189
RP2,cInn-Lx,bnovelX,A,2,99,210
RP2,cInn-Lx,bnovelX,A,3,112,191
RP2,cInn-Lx,bnovelX,B,1,22,184
RP2,cInn-Lx,bnovelX,B,2,55,147
RP2,cInn-Lx,bnovelX,B,3,50,193
RP1,dInn-Ly,cnovelY,A,1,74,117
RP1,dInn-Ly,cnovelY,A,2,69,150
RP1,dInn-Ly,cnovelY,A,3,105,169
RP1,dInn-Ly,cnovelY,B,1,9,88
RP1,dInn-Ly,cnovelY,B,2,56,181
RP1,dInn-Ly,cnovelY,B,3,41,169
RP2,dInn-Ly,cnovelY,A,1,133,190
RP2,dInn-Ly,cnovelY,A,2,74,160
RP2,dInn-Ly,cnovelY,A,3,109,195
RP2,dInn-Ly,cnovelY,B,1,55,307
RP2,dInn-Ly,cnovelY,B,2,61,221
RP2,dInn-Ly,cnovelY,B,3,100,242
RP1,eInn-Ox,bnovelX,A,1,105,179
RP1,eInn-Ox,bnovelX,A,2,26,182
RP1,eInn-Ox,bnovelX,A,3,96,181
RP1,eInn-Ox,bnovelX,B,1,101,200
RP1,eInn-Ox,bnovelX,B,2,86,158
RP1,eInn-Ox,bnovelX,B,3,51,196
RP2,eInn-Ox,bnovelX,A,1,121,210
RP2,eInn-Ox,bnovelX,A,2,80,184
RP2,eInn-Ox,bnovelX,A,3,116,169
RP2,eInn-Ox,bnovelX,B,1,118,220
RP2,eInn-Ox,bnovelX,B,2,22,52
RP2,eInn-Ox,bnovelX,B,3,37,119
RP1,fInn-Oy,cnovelY,A,1,107,179
RP1,fInn-Oy,cnovelY,A,2,167,221
RP1,fInn-Oy,cnovelY,A,3,108,195
RP1,fInn-Oy,cnovelY,B,1,70,332
RP1,fInn-Oy,cnovelY,B,2,140,328
RP1,fInn-Oy,cnovelY,B,3,71,386
RP2,fInn-Oy,cnovelY,A,1,74,157
RP2,fInn-Oy,cnovelY,A,2,68,150
RP2,fInn-Oy,cnovelY,A,3,106,222
RP2,fInn-Oy,cnovelY,B,1,80,249
RP2,fInn-Oy,cnovelY,B,2,91,239
RP2,fInn-Oy,cnovelY,B,3,77,288
RP1,gOdder,awt,A,1,77,180
RP1,gOdder,awt,A,2,75,242
RP1,gOdder,awt,A,3,99,176
RP1,gOdder,awt,B,1,81,263
RP1,gOdder,awt,B,2,112,271
RP1,gOdder,awt,B,3,57,303
RP2,gOdder,awt,A,1,114,207
RP2,gOdder,awt,A,2,26,127
RP2,gOdder,awt,A,3,61,214
RP2,gOdder,awt,B,1,85,180
RP2,gOdder,awt,B,2,79,148
RP2,gOdder,awt,B,3,90,170
RP1,hOdd-Ix,bnovelX,A,1,73,156
RP1,hOdd-Ix,bnovelX,A,2,105,145
RP1,hOdd-Ix,bnovelX,A,3,26,116
RP1,hOdd-Ix,bnovelX,B,1,71,274
RP1,hOdd-Ix,bnovelX,B,2,14,220
RP1,hOdd-Ix,bnovelX,B,3,83,309
RP2,hOdd-Ix,bnovelX,A,1,106,186
RP2,hOdd-Ix,bnovelX,A,2,62,200
RP2,hOdd-Ix,bnovelX,A,3,95,196
