population,deltaProp_male
aLHmX_Inn,0.020945257
aLHmX_Inn,0.059456597
aLHmX_Inn,0.031718428
aLHmX_Inn,0.067206831
aLHmX_Inn,0.007054058
aLHmX_Inn,0.008531903
aLHmX_Inn,0.05164499
aLHmX_Inn,0.08637414
aLHmX_Inn,0.013645408
aLHmX_Inn,0.01963206
aLHmX_Inn,0.019773002
aLHmX_Inn,0.044880862
aLHmX_Inn,0.051404051
aLHmX_Inn,0.023567793
aLHmX_Inn,0.036429872
aLHmX_Inn,0.074269364
aLHmX_Inn,-0.006289188
aLHmX_Inn,0.049549538
aLHmX_Inn,0.034547285
aLHmX_Inn,0.0381923
aLHmX_Inn,0.045200042
aLHmX_Inn,0.023648048
aLHmX_Inn,0.047048869
aLHmX_Inn,0.014310115
aLHmX_Inn,-0.010248043
aLHmX_Inn,0.058135216
aLHmX_Inn,0.023626981
aLHmX_Inn,0.038798739
aLHmX_Inn,0.046513581
aLHmX_Inn,0.027847268
aLHmX_Inn,0.028771102
aLHmX_Inn,0.037561837
aLHmX_Inn,0.058662219
aLHmX_Inn,0.007603058
aLHmX_Inn,0.031183658
aLHmX_Inn,0.023795052
aLHmX_Inn,0.062651991
aLHmX_Inn,0.042094332
aLHmX_Inn,-0.002499017
aLHmX_Inn,-0.004426799
aLHmX_Inn,0.045207461
aLHmX_Inn,0.02892146
aLHmX_Inn,0.055724812
aLHmX_Inn,0.066821872
aLHmX_Inn,0.049394979
aLHmX_Inn,0.016840092
aLHmX_Inn,-0.01129448
aLHmX_Inn,0.028137931
aLHmX_Inn,0.059109382
aLHmX_Inn,0.022804464
aLHmX_Inn,0.028426992
aLHmX_Inn,0.037578967
aLHmX_Inn,0.030278505
aLHmX_Inn,0.046442672
aLHmX_Inn,0.007703244
aLHmX_Inn,0.067392706
aLHmX_Inn,0.039926198
aLHmX_Inn,0.038374278
aLHmX_Inn,0.027948451
aLHmX_Inn,0.06238361
aLHmX_Inn,0.034225895
aLHmX_Inn,0.036101238
aLHmX_Inn,0.016189047
aLHmX_Inn,0.036107052
aLHmX_Inn,0.043544775
aLHmX_Inn,0.033112535
aLHmX_Inn,0.027487436
aLHmX_Inn,0.04871356
aLHmX_Inn,0.019678274
aLHmX_Inn,-0.008205928
aLHmX_Inn,0.026813763
aLHmX_Inn,0.036833262
aLHmX_Inn,0.032102596
aLHmX_Inn,0.059372625
aLHmX_Inn,0.071786993
aLHmX_Inn,-0.012187526
aLHmX_Inn,0.02478786
aLHmX_Inn,-0.001900406
aLHmX_Inn,0.06703031
aLHmX_Inn,0.020111307
aLHmX_Inn,0.07875847
aLHmX_Inn,0.03807645
aLHmX_Inn,0.078656315
aLHmX_Inn,0.035041616
aLHmX_Inn,0.03144137
aLHmX_Inn,0.029007906
aLHmX_Inn,0.002891147
aLHmX_Inn,0.044601165
aLHmX_Inn,0.049368276
aLHmX_Inn,0.053770255
aLHmX_Inn,0.036057657
aLHmX_Inn,0.057196481
aLHmX_Inn,0.061180394
aLHmX_Inn,0.021766484
aLHmX_Inn,0.037463902
aLHmX_Inn,-8.16E-05
aLHmX_Inn,-0.007689068
aLHmX_Inn,0.014064307
aLHmX_Inn,0.036027061
aLHmX_Inn,0.047423903
aLHmX_Inn,0.054179415
aLHmX_Inn,0.069623259
aLHmX_Inn,0.067100393
aLHmX_Inn,0.024383008
aLHmX_Inn,0.041826702
aLHmX_Inn,-0.015582494
aLHmX_Inn,0.025253237
aLHmX_Inn,0.040280205
aLHmX_Inn,0.046742349
aLHmX_Inn,0.025938428
aLHmX_Inn,0.025032353
aLHmX_Inn,0.035051901
aLHmX_Inn,0.047229418
aLHmX_Inn,0.028483474
aLHmX_Inn,0.05394777
aLHmX_Inn,0.046403673
aLHmX_Inn,-0.002573518
aLHmX_Inn,-0.017520864
aLHmX_Inn,0.051692727
aLHmX_Inn,0.03198731
aLHmX_Inn,0.02638995
aLHmX_Inn,0.042192659
aLHmX_Inn,0.066640736
aLHmX_Inn,-0.00444048
aLHmX_Inn,0.057028626
aLHmX_Inn,0.047713873
aLHmX_Inn,0.060098962
aLHmX_Inn,0.059436345
aLHmX_Inn,0.034707994
aLHmX_Inn,0.056759761
aLHmX_Inn,0.063572563
aLHmX_Inn,0.020580219
aLHmX_Inn,0.029672773
aLHmX_Inn,0.005227454
aLHmX_Inn,0.044002252
aLHmX_Inn,0.039004396
aLHmX_Inn,0.067789175
aLHmX_Inn,0.052456813
aLHmX_Inn,0.018655017
aLHmX_Inn,0.021286751
aLHmX_Inn,0.030644328
aLHmX_Inn,0.047564714
aLHmX_Inn,0.015779472
aLHmX_Inn,0.014409367
aLHmX_Inn,0.032592816
aLHmX_Inn,0.02930708
aLHmX_Inn,0.043123507
aLHmX_Inn,0.034787352
aLHmX_Inn,0.011705537
aLHmX_Inn,0.035453118
aLHmX_Inn,0.061840337
aLHmX_Inn,0.019427919
aLHmX_Inn,0.047289512
aLHmX_Inn,0.008781756
aLHmX_Inn,0.060435294
aLHmX_Inn,-0.009099394
aLHmX_Inn,0.036082088
aLHmX_Inn,0.028621973
aLHmX_Inn,0.009579698
aLHmX_Inn,0.037059014
aLHmX_Inn,0.033277316
aLHmX_Inn,0.04014854
aLHmX_Inn,0.005282144
aLHmX_Inn,0.034898472
aLHmX_Inn,0.009335064
aLHmX_Inn,0.059217412
aLHmX_Inn,-0.015148381
aLHmX_Inn,0.026485808
aLHmX_Inn,0.017141414
aLHmX_Inn,0.026391976
aLHmX_Inn,0.023541297
aLHmX_Inn,0.009615504
aLHmX_Inn,0.001507519
aLHmX_Inn,0.057729699
aLHmX_Inn,0.029150678
aLHmX_Inn,0.028705495
aLHmX_Inn,0.064222569
aLHmX_Inn,-0.005288884
aLHmX_Inn,0.033841965
aLHmX_Inn,0.021743651
aLHmX_Inn,0.037269592
aLHmX_Inn,0.012699976
aLHmX_Inn,-0.000348014
aLHmX_Inn,0.018040978
aLHmX_Inn,0.049156176
aLHmX_Inn,0.010271652
aLHmX_Inn,0.016631824
aLHmX_Inn,0.046697923
aLHmX_Inn,0.022249815
aLHmX_Inn,-0.002071016
aLHmX_Inn,0.059092103
aLHmX_Inn,0.023766708
aLHmX_Inn,0.024581217
aLHmX_Inn,-0.006792014
aLHmX_Inn,0.052194864
aLHmX_Inn,0.05297189
aLHmX_Inn,0.049634109
aLHmX_Inn,0.021865308
aLHmX_Inn,0.022014247
aLHmX_Inn,0.046447696
aLHmX_Inn,0.034229678
aLHmX_Inn,0.02676181
aLHmX_Inn,0.031645015
aLHmX_Inn,0.029740198
aLHmX_Inn,0.02855651
aLHmX_Inn,0.012312115
aLHmX_Inn,0.019033399
aLHmX_Inn,0.023875931
aLHmX_Inn,0.043561735
aLHmX_Inn,0.007132552
aLHmX_Inn,0.05214782
aLHmX_Inn,0.032391622
aLHmX_Inn,0.028782366
aLHmX_Inn,-0.017292171
aLHmX_Inn,0.01043356
aLHmX_Inn,0.04527702
aLHmX_Inn,-0.020700193
aLHmX_Inn,0.033707459
aLHmX_Inn,0.01902341
aLHmX_Inn,0.035694058
aLHmX_Inn,0.016781166
aLHmX_Inn,0.050299515
aLHmX_Inn,0.043735404
aLHmX_Inn,0.042223465
aLHmX_Inn,0.008106464
aLHmX_Inn,0.041350507
aLHmX_Inn,0.053017681
aLHmX_Inn,0.038285634
aLHmX_Inn,0.048333529
aLHmX_Inn,0.016110948
aLHmX_Inn,0.02904301
aLHmX_Inn,-0.025021297
aLHmX_Inn,-0.002636062
aLHmX_Inn,0.040318824
aLHmX_Inn,-0.037858038
