rep_population,population,treatment,block,vial,male,total
RP1,aLHm,awt,B,1,38,69
RP1,aLHm,awt,B,2,45,78
RP1,aLHm,awt,B,3,34,73
RP1,aLHm,awt,B,4,26,67
RP1,aLHm,awt,B,5,36,83
RP1,aLHm,awt,B,6,39,83
RP2,aLHm,awt,A,1,26,84
RP2,aLHm,awt,A,2,34,82
RP2,aLHm,awt,A,3,45,86
RP2,aLHm,awt,A,4,41,85
RP2,aLHm,awt,A,5,43,95
RP2,aLHm,awt,A,6,53,102
RP1,bInnisfail,awt,A,1,41,90
RP1,bInnisfail,awt,A,2,45,81
RP1,bInnisfail,awt,A,3,49,103
RP1,bInnisfail,awt,A,4,37,92
RP1,bInnisfail,awt,A,5,52,117
RP1,bInnisfail,awt,C,1,45,96
RP2,bInnisfail,awt,D,1,44,97
RP2,bInnisfail,awt,D,2,42,82
RP2,bInnisfail,awt,D,3,36,94
RP2,bInnisfail,awt,D,4,49,98
RP1,cInn-Lx,bnovelX,B,1,47,80
RP1,cInn-Lx,bnovelX,B,2,62,119
RP1,cInn-Lx,bnovelX,B,3,47,90
RP1,cInn-Lx,bnovelX,B,4,39,84
RP1,cInn-Lx,bnovelX,B,5,47,87
RP1,cInn-Lx,bnovelX,B,6,42,87
RP2,cInn-Lx,bnovelX,A,1,43,85
RP2,cInn-Lx,bnovelX,A,2,37,95
RP2,cInn-Lx,bnovelX,A,3,42,99
RP2,cInn-Lx,bnovelX,A,4,45,89
RP2,cInn-Lx,bnovelX,A,5,39,87
RP2,cInn-Lx,bnovelX,A,6,53,93
RP1,dInn-Ly,cnovelY,B,1,37,79
RP1,dInn-Ly,cnovelY,B,2,40,82
RP1,dInn-Ly,cnovelY,B,3,51,91
RP1,dInn-Ly,cnovelY,D,1,36,89
RP1,dInn-Ly,cnovelY,D,2,49,91
RP1,dInn-Ly,cnovelY,D,3,46,95
RP2,dInn-Ly,cnovelY,A,1,47,91
RP2,dInn-Ly,cnovelY,A,2,44,83
RP2,dInn-Ly,cnovelY,A,3,43,84
RP2,dInn-Ly,cnovelY,A,4,53,101
RP2,dInn-Ly,cnovelY,A,5,42,98
RP2,dInn-Ly,cnovelY,A,6,51,96
RP1,eInn-Ox,bnovelX,A,1,39,82
RP1,eInn-Ox,bnovelX,A,2,37,89
RP1,eInn-Ox,bnovelX,C,1,42,91
RP1,eInn-Ox,bnovelX,C,2,40,94
RP1,eInn-Ox,bnovelX,C,3,45,96
RP1,eInn-Ox,bnovelX,C,4,42,91
RP2,eInn-Ox,bnovelX,A,1,38,85
RP2,eInn-Ox,bnovelX,A,2,49,93
