population,deltaProp_red
aLHmX_Inn,-0.025292997
aLHmX_Inn,-0.012865229
aLHmX_Inn,0.03018455
aLHmX_Inn,0.004379671
aLHmX_Inn,0.041317025
aLHmX_Inn,-0.054368275
aLHmX_Inn,0.109366479
aLHmX_Inn,0.064432474
aLHmX_Inn,-0.047842319
aLHmX_Inn,0.012786144
aLHmX_Inn,0.096055423
aLHmX_Inn,0.095453547
aLHmX_Inn,0.011247965
aLHmX_Inn,0.059780519
aLHmX_Inn,0.093670417
aLHmX_Inn,-0.040316611
aLHmX_Inn,-0.082321541
aLHmX_Inn,-0.004649491
aLHmX_Inn,0.009544651
aLHmX_Inn,0.148299198
aLHmX_Inn,0.075277652
aLHmX_Inn,-0.011893988
aLHmX_Inn,0.015398107
aLHmX_Inn,0.156545967
aLHmX_Inn,0.109953239
aLHmX_Inn,-0.047413432
aLHmX_Inn,0.094394723
aLHmX_Inn,0.096626086
aLHmX_Inn,-0.014024725
aLHmX_Inn,0.190159928
aLHmX_Inn,0.159866618
aLHmX_Inn,0.023399594
aLHmX_Inn,0.182171604
aLHmX_Inn,0.093482284
aLHmX_Inn,0.041114847
aLHmX_Inn,0.056288562
aLHmX_Inn,0.116621747
aLHmX_Inn,0.029681368
aLHmX_Inn,-0.02962371
aLHmX_Inn,0.088567315
aLHmX_Inn,0.000816242
aLHmX_Inn,0.066552432
aLHmX_Inn,0.232799192
aLHmX_Inn,0.064802697
aLHmX_Inn,0.058848402
aLHmX_Inn,-0.075329715
aLHmX_Inn,0.164492379
aLHmX_Inn,-0.037878223
aLHmX_Inn,0.087670217
aLHmX_Inn,-0.013152131
aLHmX_Inn,-0.080870083
aLHmX_Inn,0.172795505
aLHmX_Inn,0.158357641
aLHmX_Inn,0.000343855
aLHmX_Inn,-0.068073959
aLHmX_Inn,-0.10078851
aLHmX_Inn,0.084620306
aLHmX_Inn,0.043184101
aLHmX_Inn,0.04070228
aLHmX_Inn,-0.062335071
aLHmX_Inn,0.01373116
aLHmX_Inn,0.11905019
aLHmX_Inn,0.075287115
aLHmX_Inn,0.066679385
aLHmX_Inn,0.051686832
aLHmX_Inn,0.144655355
aLHmX_Inn,0.098462791
aLHmX_Inn,0.078247955
aLHmX_Inn,0.040119387
aLHmX_Inn,0.073472245
aLHmX_Inn,0.101935844
aLHmX_Inn,0.208466207
aLHmX_Inn,0.036726161
aLHmX_Inn,0.207993461
aLHmX_Inn,0.114018939
aLHmX_Inn,-0.032884727
aLHmX_Inn,0.023475508
aLHmX_Inn,0.06686304
aLHmX_Inn,0.093524039
aLHmX_Inn,0.116407122
aLHmX_Inn,-0.048397513
aLHmX_Inn,-0.039242407
aLHmX_Inn,0.136171648
aLHmX_Inn,0.087848711
aLHmX_Inn,0.140270409
aLHmX_Inn,0.122413208
aLHmX_Inn,0.144797231
aLHmX_Inn,-0.007093178
aLHmX_Inn,0.040971786
aLHmX_Inn,0.010807233
aLHmX_Inn,0.086017277
aLHmX_Inn,0.187941628
aLHmX_Inn,0.050182146
aLHmX_Inn,-0.018886298
aLHmX_Inn,-0.04636886
aLHmX_Inn,0.068650272
aLHmX_Inn,0.017273492
aLHmX_Inn,0.150474934
aLHmX_Inn,0.053879029
aLHmX_Inn,0.039402073
aLHmX_Inn,0.061982809
aLHmX_Inn,0.024551869
aLHmX_Inn,0.100714077
aLHmX_Inn,-0.001138835
aLHmX_Inn,-0.079057954
aLHmX_Inn,0.032019884
aLHmX_Inn,-0.044289689
aLHmX_Inn,-0.026813177
aLHmX_Inn,0.02070276
aLHmX_Inn,0.112948356
aLHmX_Inn,0.062479606
aLHmX_Inn,0.256445981
aLHmX_Inn,0.00719045
aLHmX_Inn,0.123537399
aLHmX_Inn,-0.066057461
aLHmX_Inn,-0.004588481
aLHmX_Inn,0.121958188
aLHmX_Inn,0.040745931
aLHmX_Inn,-0.026618263
aLHmX_Inn,0.063163949
aLHmX_Inn,0.002009645
aLHmX_Inn,0.076726492
aLHmX_Inn,0.128688051
aLHmX_Inn,0.031469975
aLHmX_Inn,0.114494735
aLHmX_Inn,0.134469945
aLHmX_Inn,0.181117456
aLHmX_Inn,0.167851059
aLHmX_Inn,0.071786193
aLHmX_Inn,-0.03593806
aLHmX_Inn,-0.007180245
aLHmX_Inn,0.041071263
aLHmX_Inn,0.010821163
aLHmX_Inn,0.095231189
aLHmX_Inn,0.21144696
aLHmX_Inn,0.109134891
aLHmX_Inn,-0.00617466
aLHmX_Inn,0.004809197
aLHmX_Inn,0.030442008
aLHmX_Inn,0.072093375
aLHmX_Inn,0.082726013
aLHmX_Inn,0.064811463
aLHmX_Inn,0.076414434
aLHmX_Inn,-0.026157407
aLHmX_Inn,-0.002785619
aLHmX_Inn,0.0763364
aLHmX_Inn,-0.102457026
