rep_population,population,treatment,female,red,total
RP1,aLHm,awt,1,17,17
RP1,aLHm,awt,2,12,15
RP1,aLHm,awt,3,11,14
RP1,aLHm,awt,4,16,16
RP1,aLHm,awt,5,10,19
RP1,aLHm,awt,6,21,21
RP1,aLHm,awt,7,12,27
RP1,aLHm,awt,8,5,11
RP1,aLHm,awt,9,18,18
RP1,aLHm,awt,10,17,23
RP1,aLHm,awt,11,18,18
RP1,aLHm,awt,12,27,28
RP1,aLHm,awt,13,17,22
RP1,aLHm,awt,14,9,9
RP1,aLHm,awt,15,16,16
RP1,aLHm,awt,16,9,9
RP1,aLHm,awt,17,13,15
RP1,aLHm,awt,18,15,15
RP1,aLHm,awt,19,10,10
RP2,aLHm,awt,1,15,15
RP2,aLHm,awt,2,10,10
RP2,aLHm,awt,3,11,11
RP2,aLHm,awt,4,14,14
RP2,aLHm,awt,5,13,13
RP2,aLHm,awt,6,3,8
RP2,aLHm,awt,7,7,7
RP2,aLHm,awt,8,3,3
RP2,aLHm,awt,9,17,17
RP2,aLHm,awt,10,10,11
RP2,aLHm,awt,11,7,7
RP2,aLHm,awt,12,16,16
RP1,bInnisfail,awt,1,8,9
RP1,bInnisfail,awt,2,3,7
RP1,bInnisfail,awt,3,15,17
RP1,bInnisfail,awt,4,NA,NA
RP1,bInnisfail,awt,5,20,25
RP1,bInnisfail,awt,6,5,8
RP1,bInnisfail,awt,7,NA,NA
RP1,bInnisfail,awt,8,18,18
RP1,bInnisfail,awt,9,19,20
RP1,bInnisfail,awt,10,13,14
RP1,bInnisfail,awt,11,NA,NA
RP1,bInnisfail,awt,12,12,12
RP1,bInnisfail,awt,13,NA,NA
RP1,bInnisfail,awt,14,10,13
RP1,bInnisfail,awt,15,4,4
RP1,bInnisfail,awt,16,12,15
RP2,bInnisfail,awt,1,NA,NA
RP2,bInnisfail,awt,2,NA,NA
RP2,bInnisfail,awt,3,NA,NA
RP2,bInnisfail,awt,4,NA,NA
RP2,bInnisfail,awt,5,4,5
RP2,bInnisfail,awt,6,NA,NA
RP2,bInnisfail,awt,7,NA,NA
RP2,bInnisfail,awt,8,4,4
RP2,bInnisfail,awt,9,NA,NA
RP2,bInnisfail,awt,10,NA,NA
RP2,bInnisfail,awt,11,NA,NA
RP2,bInnisfail,awt,12,13,16
RP2,bInnisfail,awt,13,9,15
RP2,bInnisfail,awt,14,15,20
RP1,cInn-Lx,bnovelX,1,18,18
RP1,cInn-Lx,bnovelX,2,7,18
RP1,cInn-Lx,bnovelX,3,25,26
RP1,cInn-Lx,bnovelX,4,8,8
RP1,cInn-Lx,bnovelX,5,27,27
RP1,cInn-Lx,bnovelX,6,12,12
RP1,cInn-Lx,bnovelX,7,17,21
RP1,cInn-Lx,bnovelX,8,22,22
RP1,cInn-Lx,bnovelX,9,13,14
RP1,cInn-Lx,bnovelX,10,24,24
RP1,cInn-Lx,bnovelX,11,8,10
RP1,cInn-Lx,bnovelX,12,NA,NA
RP1,cInn-Lx,bnovelX,13,NA,NA
RP1,cInn-Lx,bnovelX,14,15,15
RP1,cInn-Lx,bnovelX,15,20,20
RP1,cInn-Lx,bnovelX,16,19,19
RP1,cInn-Lx,bnovelX,17,1,12
RP2,cInn-Lx,bnovelX,1,13,13
RP2,cInn-Lx,bnovelX,2,4,4
RP2,cInn-Lx,bnovelX,3,30,31
RP2,cInn-Lx,bnovelX,4,16,25
RP2,cInn-Lx,bnovelX,5,37,37
RP2,cInn-Lx,bnovelX,6,16,29
RP2,cInn-Lx,bnovelX,7,41,45
RP2,cInn-Lx,bnovelX,8,41,42
RP2,cInn-Lx,bnovelX,9,40,40
RP2,cInn-Lx,bnovelX,10,45,48
RP2,cInn-Lx,bnovelX,11,34,34
RP2,cInn-Lx,bnovelX,12,24,25
RP2,cInn-Lx,bnovelX,13,8,8
RP1,dInn-Ly,cnovelY,1,2,3
RP1,dInn-Ly,cnovelY,2,7,9
RP1,dInn-Ly,cnovelY,3,13,14
RP1,dInn-Ly,cnovelY,4,4,4
RP1,dInn-Ly,cnovelY,5,5,5
RP1,dInn-Ly,cnovelY,6,24,28
RP1,dInn-Ly,cnovelY,7,7,7
RP1,dInn-Ly,cnovelY,8,29,31
RP1,dInn-Ly,cnovelY,9,4,4
RP1,dInn-Ly,cnovelY,10,3,3
RP1,dInn-Ly,cnovelY,11,3,3
RP1,dInn-Ly,cnovelY,12,22,24
RP1,dInn-Ly,cnovelY,13,13,15
RP1,dInn-Ly,cnovelY,14,2,2
RP2,dInn-Ly,cnovelY,1,1,1
RP2,dInn-Ly,cnovelY,2,24,24
RP2,dInn-Ly,cnovelY,3,14,14
RP2,dInn-Ly,cnovelY,4,12,12
RP2,dInn-Ly,cnovelY,5,13,14
